layer,timestep,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,0,240,False,native,240,0.954439,0.940565,0.965814,0.025249,0.951954,0.933619,0.973025,0.915671,0.974195,240,0.976675,0.96937,0.98261,0.01324,0.975304,0.96567,0.986328,0.95598,0.986929,0.0,240,0.000801,240,0.753906,240,127.0,240,0.99926,240,0.096604,240
0,5,240,False,native,240,0.953912,0.944103,0.96585,0.021747,0.953899,0.925049,0.97525,0.919815,0.979774,240,0.976412,0.971248,0.982628,0.011381,0.976332,0.961065,0.98747,0.958233,0.989784,0.001625,240,0.000797,240,0.78125,240,122.5,240,,0,0.09547,240
0,10,240,False,native,240,0.955059,0.948727,0.962698,0.013971,0.953786,0.92516,0.977421,0.913056,0.980805,240,0.977013,0.973689,0.980995,0.007305,0.976267,0.961125,0.988582,0.954552,0.990309,0.001564,240,0.001534,240,0.785156,240,117.0,240,0.999277,240,0.094776,240
0,15,240,False,native,240,0.953983,0.947124,0.962192,0.015068,0.952162,0.923172,0.975836,0.9073,0.979921,240,0.97645,0.972844,0.980732,0.007888,0.975408,0.960051,0.98777,0.951397,0.989859,0.001492,240,0.001461,240,0.792969,240,120.5,240,,0,0.094692,240
0,20,240,False,native,240,0.95427,0.94357,0.962879,0.019309,0.951767,0.924589,0.975558,0.903346,0.979921,240,0.9766,0.970966,0.981088,0.010122,0.975195,0.960817,0.987628,0.949219,0.989859,0.001434,240,0.001438,240,0.810547,240,120.0,240,0.999266,240,0.094846,240
0,25,240,False,native,240,0.953625,0.942117,0.961686,0.019569,0.95072,0.92633,0.97484,0.899272,0.980658,240,0.976262,0.970196,0.980469,0.010273,0.974646,0.961756,0.98726,0.946965,0.990234,0.001404,240,0.00148,240,0.837891,240,118.0,240,,0,0.095164,240
0,30,240,False,native,240,0.952407,0.940348,0.961433,0.021085,0.949747,0.926902,0.97304,0.892926,0.978597,240,0.975623,0.969257,0.980337,0.01108,0.974132,0.962064,0.986336,0.943434,0.989183,0.001572,240,0.001549,240,0.839844,240,118.5,240,0.999202,240,0.095386,240
0,35,240,False,native,240,0.948977,0.941126,0.959592,0.018466,0.94727,0.928536,0.971593,0.872029,0.974635,240,0.973821,0.96967,0.97938,0.009709,0.972808,0.962943,0.985592,0.931641,0.987154,0.001568,240,0.001652,240,0.851562,240,113.0,240,,0,0.095587,240
0,40,240,False,native,240,0.945914,0.939747,0.957611,0.017864,0.944472,0.926748,0.966918,0.834999,0.975221,240,0.972206,0.968938,0.978347,0.009409,0.971293,0.961982,0.983181,0.910081,0.987455,0.001728,240,0.001736,240,0.869141,240,109.5,240,0.999058,240,0.095786,240
0,45,240,False,native,240,0.946555,0.936326,0.957647,0.021321,0.941846,0.917796,0.963292,0.826063,0.973171,240,0.972544,0.967116,0.978365,0.011249,0.969866,0.957136,0.981303,0.904748,0.986403,0.001709,240,0.001652,240,0.863281,240,105.0,240,,0,0.095428,240
1,0,240,False,native,240,0.959953,0.952336,0.965487,0.013152,0.957716,0.941657,0.970134,0.93404,0.975807,240,0.979567,0.975586,0.982441,0.006855,0.978371,0.969952,0.984841,0.965895,0.987755,0.001362,240,0.001503,240,0.753906,240,110.0,240,0.999657,240,0.101194,240
1,5,240,False,native,240,0.960314,0.953876,0.969376,0.015501,0.958427,0.936544,0.973332,0.915258,0.98051,240,0.979755,0.976393,0.98445,0.008057,0.978716,0.967233,0.986486,0.955754,0.990159,0.001575,240,0.001564,240,0.716797,240,106.5,240,,0,0.1014,240
1,10,240,False,native,240,0.960097,0.953087,0.972513,0.019426,0.959311,0.935826,0.975954,0.911682,0.982575,240,0.979642,0.97598,0.986065,0.010085,0.979167,0.966849,0.987831,0.953801,0.991211,0.001511,240,0.001537,240,0.722656,240,100.5,240,0.99963,240,0.10194,240
1,15,240,False,native,240,0.962047,0.950691,0.973464,0.022773,0.959377,0.933717,0.978303,0.900221,0.986125,240,0.980657,0.974722,0.986553,0.011831,0.979187,0.965723,0.989032,0.947491,0.993014,0.001526,240,0.001568,240,0.716797,240,99.0,240,,0,0.10202,240
1,20,240,False,native,240,0.962698,0.952157,0.974049,0.021892,0.960603,0.938886,0.979053,0.906071,0.989984,240,0.980995,0.975492,0.986854,0.011362,0.979833,0.96848,0.989416,0.950721,0.994967,0.001541,240,0.001541,240,0.724609,240,97.0,240,0.999626,240,0.101743,240
1,25,240,False,native,240,0.962409,0.951227,0.971893,0.020666,0.960167,0.940454,0.979936,0.884218,0.988944,240,0.980844,0.975004,0.985746,0.010742,0.979595,0.969313,0.989866,0.938552,0.994441,0.00153,240,0.001568,240,0.726562,240,96.0,240,,0,0.101295,240
1,30,240,False,native,240,0.961108,0.949155,0.972185,0.023029,0.959402,0.941147,0.980805,0.909215,0.989538,240,0.980168,0.973915,0.985896,0.011982,0.979201,0.969681,0.990309,0.952449,0.994742,0.001583,240,0.001606,240,0.730469,240,92.0,240,0.99955,240,0.100625,240
1,35,240,False,native,240,0.960169,0.948478,0.972039,0.023561,0.958837,0.935545,0.980658,0.904162,0.989538,240,0.97968,0.973558,0.985821,0.012263,0.9789,0.966699,0.990234,0.949669,0.994742,0.001682,240,0.001678,240,0.744141,240,90.5,240,,0,0.099702,240
1,40,240,False,native,240,0.961469,0.946199,0.973135,0.026936,0.957935,0.930814,0.979936,0.904299,0.989687,240,0.980356,0.972356,0.986384,0.014029,0.978415,0.964168,0.989866,0.949745,0.994817,0.001736,240,0.00174,240,0.738281,240,84.0,240,0.999478,240,0.098599,240
1,45,240,False,native,240,0.960242,0.946448,0.970543,0.024095,0.957658,0.931025,0.980098,0.904162,0.989836,240,0.979718,0.972487,0.985051,0.012564,0.97828,0.96428,0.989949,0.949669,0.994892,0.001747,240,0.001747,240,0.746094,240,82.5,240,,0,0.097855,240
2,0,240,False,native,240,0.966467,0.960963,0.973464,0.012501,0.96539,0.953768,0.977715,0.928437,0.981985,240,0.982948,0.980093,0.986553,0.00646,0.982356,0.976337,0.988732,0.962891,0.99091,0.001762,240,0.001709,240,0.699219,240,91.0,240,0.999683,240,0.102803,240
2,5,240,False,native,240,0.96843,0.959376,0.973866,0.01449,0.965478,0.947338,0.979347,0.926483,0.985976,240,0.983962,0.979267,0.98676,0.007493,0.982399,0.972957,0.989566,0.961839,0.992939,0.001823,240,0.001808,240,0.666016,240,97.0,240,,0,0.102377,240
2,10,240,False,native,240,0.967121,0.959773,0.973903,0.01413,0.96645,0.951305,0.981395,0.932356,0.988647,240,0.983286,0.979473,0.986779,0.007305,0.982908,0.975045,0.99061,0.964994,0.994291,0.001816,240,0.001892,240,0.673828,240,96.5,240,0.999709,240,0.101598,240
2,15,240,False,native,240,0.966612,0.959917,0.975111,0.015194,0.966732,0.952579,0.981999,0.940383,0.989538,240,0.983023,0.979549,0.987399,0.00785,0.983054,0.975714,0.990918,0.969276,0.994742,0.001808,240,0.001854,240,0.683594,240,97.0,240,,0,0.100959,240
2,20,240,False,native,240,0.966467,0.959736,0.974195,0.014459,0.96667,0.951849,0.9811,0.940808,0.987607,240,0.982948,0.979455,0.986929,0.007474,0.983024,0.975331,0.99046,0.969501,0.993765,0.001785,240,0.001808,240,0.681641,240,96.0,240,0.999712,240,0.100483,240
2,25,240,False,native,240,0.966758,0.958655,0.975221,0.016566,0.966604,0.952765,0.980672,0.940101,0.986569,240,0.983098,0.978891,0.987455,0.008564,0.982988,0.975811,0.990242,0.969126,0.993239,0.001808,240,0.001808,240,0.681641,240,94.0,240,,0,0.100061,240
2,30,240,False,native,240,0.966032,0.958151,0.974781,0.01663,0.96626,0.952894,0.980834,0.939253,0.98835,240,0.982722,0.978628,0.98723,0.008601,0.982809,0.975879,0.990325,0.968675,0.994141,0.00177,240,0.001762,240,0.6875,240,94.0,240,0.999701,240,0.09964,240
2,35,240,False,native,240,0.965596,0.956928,0.97566,0.018733,0.965645,0.951477,0.980967,0.938406,0.986273,240,0.982497,0.97799,0.98768,0.009691,0.982488,0.975135,0.990392,0.968224,0.993089,0.001762,240,0.001808,240,0.691406,240,92.5,240,,0,0.099317,240
2,40,240,False,native,240,0.964653,0.953732,0.975111,0.021378,0.963885,0.945872,0.980245,0.936713,0.986273,240,0.982009,0.976318,0.987399,0.01108,0.981568,0.972183,0.990024,0.967323,0.993089,0.001743,240,0.001762,240,0.707031,240,91.0,240,0.999669,240,0.098649,240
2,45,240,False,native,240,0.963567,0.950583,0.973135,0.022551,0.962091,0.943485,0.979332,0.930534,0.985088,240,0.981445,0.974666,0.986384,0.011719,0.98063,0.970921,0.989558,0.964017,0.992488,0.001732,240,0.001701,240,0.703125,240,92.0,240,,0,0.0978,240
3,0,240,False,native,240,0.965959,0.959953,0.971418,0.011465,0.96194,0.93383,0.974195,0.925787,0.979921,240,0.982685,0.979567,0.985502,0.005934,0.98055,0.965783,0.986929,0.961463,0.989859,0.000614,240,0.001114,240,0.685547,240,112.5,240,0.999692,240,0.106399,240
