head,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,6000,False,native,6000,0.975074,0.965596,0.982723,0.017127,0.97197,0.951763,0.987474,0.899001,0.993859,6000,0.98738,0.982497,0.991286,0.008789,0.985727,0.975285,0.993697,0.946815,0.99692,0.001892,6000,0.001892,6000,0.558594,6000,89.0,6000,0.999784,3000,0.106243,6000
1,6000,False,native,6000,0.97654,0.965451,0.982575,0.017124,0.97165,0.950905,0.986273,0.884218,0.99192,6000,0.988131,0.982422,0.991211,0.008789,0.985555,0.974835,0.993089,0.938552,0.995944,0.002045,6000,0.002045,6000,0.535156,6000,98.0,6000,0.999777,3000,0.106243,6000
2,6000,False,native,6000,0.973025,0.960819,0.979332,0.018513,0.96865,0.947623,0.983166,0.904707,0.993859,6000,0.986328,0.980018,0.989558,0.00954,0.98402,0.973107,0.991511,0.94997,0.99692,0.001762,6000,0.001762,6000,0.589844,6000,109.0,6000,0.999745,3000,0.106243,6000
3,6000,False,native,6000,0.97361,0.964146,0.979921,0.015775,0.969558,0.95019,0.983757,0.891581,0.991473,6000,0.986629,0.981746,0.989859,0.008113,0.984484,0.974459,0.991812,0.942683,0.995718,0.001709,6000,0.001728,6000,0.582031,6000,101.0,6000,0.99975,3000,0.106243,6000
4,6000,False,native,6000,0.973171,0.958367,0.980363,0.021996,0.968142,0.944337,0.985236,0.821067,0.993411,6000,0.986403,0.978741,0.990084,0.011343,0.983735,0.971372,0.992563,0.901743,0.996695,0.001808,6000,0.001808,6000,0.585938,6000,101.0,6000,0.999766,3000,0.106243,6000
5,6000,False,native,6000,0.973025,0.964001,0.979038,0.015037,0.9701,0.953052,0.983166,0.856236,0.993262,6000,0.986328,0.981671,0.989408,0.007737,0.98478,0.975962,0.991511,0.922551,0.99662,0.001839,6000,0.001854,6000,0.585938,6000,111.0,6000,0.999786,3000,0.106243,6000
6,6000,False,native,6000,0.97361,0.963277,0.979627,0.01635,0.970004,0.950048,0.985532,0.900764,0.992814,6000,0.986629,0.981295,0.989709,0.008413,0.984718,0.974384,0.992713,0.947791,0.996394,0.00164,6000,0.001625,6000,0.574219,6000,110.0,6000,0.99979,3000,0.106243,6000
7,6000,False,native,6000,0.974342,0.962988,0.980068,0.017081,0.968727,0.951763,0.983905,0.809802,0.993411,6000,0.987004,0.981145,0.989934,0.008789,0.984005,0.975285,0.991887,0.894907,0.996695,0.001877,6000,0.001907,6000,0.570312,6000,98.0,6000,0.999785,3000,0.106243,6000
8,6000,False,native,6000,0.973318,0.962843,0.979038,0.016195,0.967844,0.944351,0.982723,0.801963,0.991622,6000,0.986478,0.98107,0.989408,0.008338,0.983569,0.971379,0.991286,0.890099,0.995793,0.001675,6000,0.001678,6000,0.585938,6000,110.0,6000,0.999768,3000,0.106243,6000
9,6000,False,native,6000,0.973025,0.961108,0.980363,0.019255,0.966943,0.943358,0.984644,0.826063,0.992665,6000,0.986328,0.980168,0.990084,0.009916,0.98308,0.970853,0.992263,0.904748,0.996319,0.001602,6000,0.001595,6000,0.589844,6000,100.0,6000,0.999784,3000,0.106243,6000
10,6000,False,native,6000,0.973025,0.963711,0.980363,0.016652,0.970262,0.953195,0.985532,0.901578,0.994158,6000,0.986328,0.98152,0.990084,0.008564,0.984852,0.976037,0.992713,0.948242,0.99707,0.001762,6000,0.001762,6000,0.585938,6000,112.0,6000,0.999781,3000,0.106243,6000
11,6000,False,native,6000,0.973318,0.962409,0.980805,0.018396,0.968078,0.951477,0.985384,0.848375,0.99192,6000,0.986478,0.980844,0.990309,0.009465,0.983646,0.975135,0.992638,0.917969,0.995944,0.001808,6000,0.001808,6000,0.585938,6000,102.0,6000,0.999775,3000,0.106243,6000
