timestep,sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,0.5,fp8_e4m3,0.5,7200,False,simulated,7200,0.994856,0.992127,0.996132,0.004005,0.993186,0.987475,0.996801,0.923908,0.998414,7200,0.997421,0.996048,0.998062,0.002014,0.996574,0.993698,0.998398,0.960449,0.999207,0.0,7200,0.0,7200,0.550781,7200,145.0,7200,0.999949,7200,1e-06,7200
0,0.5,nvfp4,0.5,7200,False,native,7200,0.985774,0.981496,0.989013,0.007517,0.984018,0.974303,0.991007,0.916818,0.995645,7200,0.992836,0.990662,0.994476,0.003815,0.99193,0.986984,0.995483,0.956604,0.997818,0.0,7200,0.0,7200,0.917969,7200,144.0,7200,0.999679,7200,0.106427,7200
0,0.5,nvfp4_sim,0.5,7200,False,simulated,7200,0.985729,0.981616,0.989074,0.007458,0.984025,0.974333,0.991007,0.917042,0.995494,7200,0.992813,0.990723,0.994507,0.003784,0.991933,0.987,0.995483,0.956726,0.997742,0.0,7200,0.0,7200,0.917969,7200,145.0,7200,0.999677,7200,0.106265,7200
0,0.7,fp8_e4m3,0.3,7200,False,simulated,7200,0.992017,0.988049,0.994183,0.006134,0.989673,0.981205,0.995344,0.902611,0.997568,7200,0.995992,0.993988,0.997083,0.003095,0.994794,0.990513,0.997666,0.948813,0.998782,0.0,7200,0.0,7200,0.521484,7200,153.0,7200,0.999949,7200,1e-06,7200
0,0.7,nvfp4,0.3,7200,False,native,7200,0.979663,0.972877,0.984596,0.011719,0.97713,0.963102,0.987397,0.897848,0.993024,7200,0.989727,0.986252,0.992238,0.005986,0.988402,0.981204,0.993659,0.946175,0.9965,0.0,7200,0.0,7200,0.882812,7200,151.0,7200,0.999679,7200,0.106427,7200
0,0.7,nvfp4_sim,0.3,7200,False,simulated,7200,0.979663,0.972926,0.984658,0.011732,0.977136,0.963048,0.987397,0.899906,0.993225,7200,0.989727,0.986277,0.99227,0.005993,0.988405,0.981176,0.993659,0.947316,0.996601,0.0,7200,0.0,7200,0.882812,7200,151.0,7200,0.999677,7200,0.106265,7200
0,0.8,fp8_e4m3,0.2,7200,False,simulated,7200,0.989587,0.983974,0.99267,0.008696,0.986579,0.975501,0.994177,0.903002,0.997651,7200,0.994766,0.991922,0.996321,0.004399,0.993221,0.987599,0.99708,0.949029,0.998824,0.0,7200,0.0,7200,0.472656,7200,148.0,7200,0.999949,7200,1e-06,7200
0,0.8,nvfp4,0.2,7200,False,native,7200,0.975205,0.966349,0.980695,0.014346,0.971503,0.953163,0.984048,0.882891,0.99267,7200,0.987447,0.982886,0.990253,0.007367,0.985497,0.97602,0.99196,0.937803,0.996321,0.0,7200,0.0,7200,0.824219,7200,148.0,7200,0.999679,7200,0.106427,7200
0,0.8,nvfp4_sim,0.2,7200,False,simulated,7200,0.975057,0.96644,0.980769,0.014329,0.971534,0.953258,0.984272,0.885449,0.992368,7200,0.987371,0.982934,0.990291,0.007357,0.985513,0.976069,0.992074,0.939245,0.99617,0.0,7200,0.0,7200,0.824219,7200,148.0,7200,0.999677,7200,0.106265,7200
0,0.9,fp8_e4m3,0.1,7200,False,simulated,7200,0.984348,0.974928,0.989538,0.014611,0.980409,0.963277,0.992069,0.880624,0.998499,7200,0.992112,0.987305,0.994742,0.007437,0.990063,0.981295,0.996019,0.936523,0.999249,0.0,7200,0.0,7200,0.375,7200,133.0,7200,0.999949,7200,1e-06,7200
