layer,timestep,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,0,24,False,native,24,0.954439,0.940565,0.965814,0.025249,0.951954,0.933619,0.973025,0.915671,0.974195,24,0.976675,0.96937,0.98261,0.01324,0.975304,0.96567,0.986328,0.95598,0.986929,0.0,24,0.000801,24,0.753906,24,127.0,24,0.99926,24,0.096604,24
0,1,24,False,native,24,0.954278,0.941487,0.963748,0.022261,0.951404,0.931515,0.971272,0.916913,0.973318,24,0.9766,0.969858,0.981539,0.011681,0.975023,0.964543,0.985427,0.956656,0.986478,0.0,24,0.000801,24,0.767578,24,118.0,24,,0,0.09667,24
0,2,24,False,native,24,0.951484,0.941729,0.963169,0.021439,0.951428,0.932636,0.968212,0.923144,0.976687,24,0.975135,0.969989,0.981239,0.011249,0.975048,0.965144,0.983849,0.960036,0.988206,0.00079,24,0.000763,24,0.771484,24,134.0,24,,0,0.096382,24
0,3,24,False,native,24,0.954275,0.944674,0.966651,0.021977,0.952403,0.929835,0.97098,0.918017,0.973464,24,0.9766,0.971548,0.983042,0.011493,0.975548,0.963642,0.985276,0.957257,0.986553,0.000851,24,0.000782,24,0.787109,24,133.5,24,,0,0.096028,24
0,4,24,False,native,24,0.953769,0.944743,0.966468,0.021725,0.953566,0.926205,0.974635,0.9194,0.977568,24,0.976337,0.971586,0.982948,0.011362,0.976149,0.961689,0.987154,0.958008,0.988657,0.000763,24,0.000824,24,0.787109,24,127.5,24,,0,0.09569,24
0,5,24,False,native,24,0.953123,0.945773,0.96654,0.020767,0.953851,0.924673,0.975221,0.923421,0.975514,24,0.975999,0.97213,0.982985,0.010855,0.976306,0.960862,0.987455,0.960186,0.987605,0.000824,24,0.000816,24,0.792969,24,120.5,24,,0,0.095452,24
0,6,24,False,native,24,0.95585,0.945986,0.965633,0.019647,0.953876,0.924673,0.975514,0.921617,0.97566,24,0.977426,0.972243,0.982516,0.010273,0.976318,0.960862,0.987605,0.95921,0.98768,0.000816,24,0.001774,24,0.808594,24,120.5,24,,0,0.095203,24
0,7,24,False,native,24,0.954773,0.945453,0.964546,0.019093,0.953182,0.922588,0.97361,0.920508,0.978009,24,0.976863,0.971961,0.981952,0.009991,0.975949,0.959736,0.986629,0.958609,0.988882,0.000813,24,0.000944,24,0.789062,24,121.5,24,,0,0.095028,24
0,8,24,False,native,24,0.951263,0.946952,0.965125,0.018173,0.953158,0.927739,0.976247,0.919123,0.978597,24,0.975023,0.97275,0.982253,0.009503,0.975936,0.962515,0.987981,0.957858,0.989183,0.00079,24,0.001781,24,0.808594,24,113.0,24,,0,0.094885,24
0,9,24,False,native,24,0.953912,0.949013,0.963965,0.014952,0.953997,0.928437,0.9761,0.918156,0.978744,24,0.976412,0.973839,0.981652,0.007812,0.976381,0.962891,0.987906,0.957332,0.989258,0.001278,24,0.001259,24,0.78125,24,119.0,24,,0,0.094766,24
0,10,24,False,native,24,0.954271,0.947803,0.963821,0.016018,0.953641,0.930674,0.974488,0.913056,0.979921,24,0.9766,0.973201,0.981577,0.008376,0.976187,0.964093,0.987079,0.954552,0.989859,0.000778,24,0.001659,24,0.78125,24,109.5,24,0.999281,24,0.094698,24
