head,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,3000,False,native,3000,0.98062,0.975205,0.984645,0.00944,0.977644,0.96636,0.987038,0.921936,0.991691,3000,0.990215,0.987447,0.992263,0.004816,0.988664,0.982892,0.993477,0.959383,0.995828,0.001144,3000,0.001137,3000,0.730469,3000,97.0,3000,0.999751,300,0.1055,3000
1,3000,False,native,3000,0.980397,0.973357,0.98472,0.011363,0.976827,0.962489,0.987038,0.921656,0.990939,3000,0.990102,0.986499,0.992301,0.005802,0.988242,0.980886,0.993477,0.959231,0.995449,0.000912,3000,0.000896,3000,0.738281,3000,120.5,3000,0.999717,300,0.1055,3000
2,3000,False,native,3000,0.977798,0.969359,0.982109,0.01275,0.97437,0.955358,0.987263,0.920886,0.99267,3000,0.988774,0.984441,0.990974,0.006533,0.986981,0.977169,0.993591,0.958814,0.996321,0.000824,3000,0.000816,3000,0.78125,3000,124.0,3000,0.99969,300,0.1055,3000
3,3000,False,native,3000,0.979877,0.969451,0.983899,0.014447,0.976277,0.963212,0.986365,0.927485,0.991917,3000,0.989836,0.984489,0.991884,0.007395,0.987969,0.981261,0.993136,0.962379,0.995942,0.000904,3000,0.000912,3000,0.753906,3000,111.0,3000,0.999719,300,0.1055,3000
4,3000,False,native,3000,0.9801,0.971366,0.983899,0.012533,0.976762,0.960592,0.987712,0.905065,0.993724,3000,0.98995,0.985475,0.991884,0.006409,0.988213,0.9799,0.993818,0.950167,0.996852,0.000999,3000,0.000992,3000,0.734375,3000,106.0,3000,0.999743,300,0.1055,3000
5,3000,False,native,3000,0.980769,0.973653,0.98487,0.011217,0.978434,0.965927,0.988237,0.930378,0.992594,3000,0.990291,0.98665,0.992377,0.005727,0.989078,0.982668,0.994084,0.963934,0.996283,0.001015,3000,0.000999,3000,0.71875,3000,112.0,3000,0.999771,300,0.1055,3000
6,3000,False,native,3000,0.979431,0.974539,0.983302,0.008763,0.977666,0.965627,0.985916,0.933776,0.991842,3000,0.989609,0.987106,0.991581,0.004475,0.988689,0.982513,0.992908,0.965754,0.995904,0.000618,3000,0.000614,3000,0.753906,3000,125.0,3000,0.99976,300,0.1055,3000
7,3000,False,native,3000,0.979505,0.971568,0.984795,0.013227,0.975717,0.959492,0.987188,0.885988,0.991766,3000,0.989647,0.985579,0.992339,0.00676,0.987656,0.979327,0.993553,0.939548,0.995866,0.001099,3000,0.001099,3000,0.75,3000,107.0,3000,0.99973,300,0.1055,3000
8,3000,False,native,3000,0.978466,0.971366,0.982929,0.011564,0.975526,0.959412,0.985916,0.876392,0.99124,3000,0.989116,0.985475,0.991391,0.005916,0.987578,0.979285,0.992908,0.934125,0.995601,0.0,3000,0.0,3000,0.777344,3000,131.0,3000,0.999734,300,0.1055,3000
9,3000,False,native,3000,0.980434,0.969819,0.984795,0.014976,0.974716,0.949777,0.986739,0.889908,0.993046,3000,0.990121,0.984678,0.992339,0.007661,0.987138,0.974242,0.993325,0.941748,0.996511,0.000977,3000,0.000977,3000,0.742188,3000,107.0,3000,0.999758,300,0.1055,3000
10,3000,False,native,3000,0.980509,0.970482,0.98487,0.014388,0.976067,0.960519,0.986964,0.901424,0.991992,3000,0.990159,0.98502,0.992377,0.007357,0.987844,0.979862,0.993439,0.948157,0.99598,0.000784,3000,0.000801,3000,0.734375,3000,122.0,3000,0.999731,300,0.1055,3000
11,3000,False,native,3000,0.980026,0.970408,0.985785,0.015377,0.976112,0.958473,0.988012,0.938253,0.991165,3000,0.989912,0.984982,0.992842,0.00786,0.987871,0.978796,0.99397,0.968143,0.995563,0.001022,3000,0.001007,3000,0.746094,3000,109.0,3000,0.999735,300,0.1055,3000
