config,sparsity,rel_l2_median,rel_l2_p10,rel_l2_p90,n
A,,0.0,0.0,0.0,20400
B,,0.05203893035650253,0.025657319463789463,0.17399696707725534,20400
B_sim,,0.05203893035650253,0.025657317787408828,0.17399695366621026,20400
C,0.8,0.10580692812800407,0.013563132472336292,0.3298629432916644,20400
D,0.8,0.10571485012769699,0.013683577347546817,0.3298656851053241,20400
D8,0.8,0.10573514550924301,0.013554245047271254,0.32997467517852824,20400
C_rand,0.8,0.11454924568533897,0.03707305267453194,0.32848839759826676,20400
E,0.8,0.15532097965478897,0.06341242417693138,0.35213803052902237,20400
F8,0.8,0.1552427113056183,0.0633960172533989,0.35228835940361025,20400
F16,0.8,0.155241921544075,0.06339000836014748,0.3522021234035496,20400
C,0.9,0.1762191504240036,0.031576032564044,0.4826354682445526,20400
D,0.9,0.17646294832229614,0.03201698884367943,0.48324304819107056,20400
D8,0.9,0.17619580030441284,0.031607236713171005,0.48265713453292847,20400
C_rand,0.9,0.17967408895492554,0.05900384448468685,0.4804812580347064,20400
E,0.9,0.2126404047012329,0.08561118319630623,0.49812886416912083,20400
F8,0.9,0.21256078034639359,0.08547035828232766,0.49801605343818667,20400
F16,0.9,0.21252436935901642,0.08549624979496002,0.497984078526497,20400
C,0.95,0.2740054428577423,0.06959089934825897,0.6527753055095673,20400
D,0.95,0.27449917793273926,0.070040462911129,0.6536083102226258,20400
D8,0.95,0.274136483669281,0.06944060176610947,0.6525456428527839,20400
C_rand,0.95,0.2761213928461075,0.09732600897550583,0.6487276434898385,20400
E,0.95,0.29614435136318207,0.11672431901097298,0.6636349558830261,20400
F8,0.95,0.2958376854658127,0.11675017699599267,0.6632313430309297,20400
F16,0.95,0.2959292382001877,0.11682442501187325,0.6631180047988892,20400
