comparison,sparsity,relative_reduction
E_to_F8,0.8,-0.03383906198584615
E_to_F8,0.8,-0.03203950788200096
E_to_F8,0.8,-0.029626313145652696
E_to_F8,0.8,-0.026998350324088646
E_to_F8,0.8,-0.026044092413912357
E_to_F8,0.8,-0.025402570983969912
E_to_F8,0.8,-0.023361116368304794
E_to_F8,0.8,-0.019321539767279582
E_to_F8,0.8,-0.0189365250167155
E_to_F8,0.8,-0.018725353165350886
E_to_F8,0.8,-0.018709320600063577
E_to_F8,0.8,-0.018631054650484015
E_to_F8,0.8,-0.018480593837757076
E_to_F8,0.8,-0.01836133639631933
E_to_F8,0.8,-0.01790484723663437
E_to_F8,0.8,-0.016844720385115895
E_to_F8,0.8,-0.016824607100077167
E_to_F8,0.8,-0.0167712940340102
E_to_F8,0.8,-0.016606507213567823
E_to_F8,0.8,-0.016151593299813805
E_to_F8,0.8,-0.015885883399438062
E_to_F8,0.8,-0.015797456604603653
E_to_F8,0.8,-0.015427825139940145
E_to_F8,0.8,-0.0153269447209209
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.015042532442578261
E_to_F8,0.8,-0.01499398716042995
E_to_F8,0.8,-0.014939969324245477
E_to_F8,0.8,-0.01485354918206848
E_to_F8,0.8,-0.01485354918206848
E_to_F8,0.8,-0.014841603672166954
E_to_F8,0.8,-0.014841603672166954
E_to_F8,0.8,-0.014841603672166954
E_to_F8,0.8,-0.014841603672166954
E_to_F8,0.8,-0.014841603672166954
E_to_F8,0.8,-0.014841603672166954
E_to_F8,0.8,-0.014841603672166954
E_to_F8,0.8,-0.014841603672166954
E_to_F8,0.8,-0.014841603672166954
E_to_F8,0.8,-0.014841603672166954
E_to_F8,0.8,-0.014492155365340898
E_to_F8,0.8,-0.014470755105822576
E_to_F8,0.8,-0.01432459152948834
E_to_F8,0.8,-0.014210595296801161
E_to_F8,0.8,-0.013960183222086399
E_to_F8,0.8,-0.01366319994552857
E_to_F8,0.8,-0.01366319994552857
E_to_F8,0.8,-0.013458069293690878
E_to_F8,0.8,-0.013458069293690878
E_to_F8,0.8,-0.013190993834122302
E_to_F8,0.8,-0.013186141768821701
E_to_F8,0.8,-0.013186141768821701
E_to_F8,0.8,-0.013167033942684432
E_to_F8,0.8,-0.012996492888834435
E_to_F8,0.8,-0.012996492888834435
E_to_F8,0.8,-0.012942291433944146
E_to_F8,0.8,-0.012795873264435617
E_to_F8,0.8,-0.012671473966912327
E_to_F8,0.8,-0.012671473966912327
E_to_F8,0.8,-0.012505519995144635
E_to_F8,0.8,-0.012206032627359491
E_to_F8,0.8,-0.012206032627359491
E_to_F8,0.8,-0.012070976205671996
E_to_F8,0.8,-0.012070976205671996
E_to_F8,0.8,-0.011993457853994643
E_to_F8,0.8,-0.011993457853994643
E_to_F8,0.8,-0.011979537500810216
E_to_F8,0.8,-0.011921649796804401
E_to_F8,0.8,-0.011810105036707874
E_to_F8,0.8,-0.011729176756324592
E_to_F8,0.8,-0.011574755810899123
E_to_F8,0.8,-0.011574755810899123
E_to_F8,0.8,-0.011472851648220529
E_to_F8,0.8,-0.011472851648220529
E_to_F8,0.8,-0.011421530071281145
E_to_F8,0.8,-0.011242896378071455
E_to_F8,0.8,-0.011237542127494712
E_to_F8,0.8,-0.01112580679919625
E_to_F8,0.8,-0.011070459893060462
E_to_F8,0.8,-0.01106658526260011
E_to_F8,0.8,-0.011044430983156541
E_to_F8,0.8,-0.010863933735868752
E_to_F8,0.8,-0.010829904077631743
E_to_F8,0.8,-0.010741244222910729
E_to_F8,0.8,-0.010644667158155943
E_to_F8,0.8,-0.010494376954285565
E_to_F8,0.8,-0.010434690239440929
E_to_F8,0.8,-0.01042386747365437
E_to_F8,0.8,-0.010323802990551493
E_to_F8,0.8,-0.01031147272656089
E_to_F8,0.8,-0.010280691291947301
E_to_F8,0.8,-0.010252286269272054
E_to_F8,0.8,-0.010250067597560994
E_to_F8,0.8,-0.010129820351051385
E_to_F8,0.8,-0.010086401125060427
E_to_F8,0.8,-0.010051342190424023
E_to_F8,0.8,-0.010033622660192682
E_to_F8,0.8,-0.010033622660192682
E_to_F8,0.8,-0.00994755671076432
E_to_F8,0.8,-0.009918010291395305
E_to_F8,0.8,-0.009805394156567088
E_to_F8,0.8,-0.0097789142114865
E_to_F8,0.8,-0.009615290904737993
E_to_F8,0.8,-0.0094841895903037
E_to_F8,0.8,-0.009412352490754368
E_to_F8,0.8,-0.00930440517037134
E_to_F8,0.8,-0.009249709611736004
E_to_F8,0.8,-0.009232908933070097
E_to_F8,0.8,-0.009207238917654305
E_to_F8,0.8,-0.009201103988542701
E_to_F8,0.8,-0.009193019838331222
E_to_F8,0.8,-0.009189642846041466
E_to_F8,0.8,-0.009125612437595663
E_to_F8,0.8,-0.00905983477442595
E_to_F8,0.8,-0.00905161097142056
E_to_F8,0.8,-0.00905161097142056
E_to_F8,0.8,-0.009039680520371251
E_to_F8,0.8,-0.008991199494916495
E_to_F8,0.8,-0.008986395717967314
E_to_F8,0.8,-0.008930359755204245
E_to_F8,0.8,-0.008922519280089617
E_to_F8,0.8,-0.008876430225222498
E_to_F8,0.8,-0.008853279131537148
E_to_F8,0.8,-0.008845375624515197
E_to_F8,0.8,-0.008742470533720082
E_to_F8,0.8,-0.008727843916820953
E_to_F8,0.8,-0.008727843916820953
E_to_F8,0.8,-0.008708342576817255
E_to_F8,0.8,-0.008678849438498261
E_to_F8,0.8,-0.008661824726993122
E_to_F8,0.8,-0.0085377329575287
E_to_F8,0.8,-0.00849111236952864
E_to_F8,0.8,-0.00848410134780687
E_to_F8,0.8,-0.008457381908549846
E_to_F8,0.8,-0.008439703821365229
E_to_F8,0.8,-0.00843162217195019
E_to_F8,0.8,-0.00842449328496382
E_to_F8,0.8,-0.008393484555199506
E_to_F8,0.8,-0.008328163577998076
E_to_F8,0.8,-0.008287130829852633
E_to_F8,0.8,-0.008240317686175237
E_to_F8,0.8,-0.008238849201826116
E_to_F8,0.8,-0.00819624185570916
E_to_F8,0.8,-0.008155602507233841
E_to_F8,0.8,-0.008148863750630765
E_to_F8,0.8,-0.008141504879226347
E_to_F8,0.8,-0.008129644472729578
E_to_F8,0.8,-0.008095959726565263
E_to_F8,0.8,-0.008095959726565263
E_to_F8,0.8,-0.008086871164794333
E_to_F8,0.8,-0.00804429089707167
E_to_F8,0.8,-0.007972621747856689
E_to_F8,0.8,-0.007937886589507498
E_to_F8,0.8,-0.00793555783258428
E_to_F8,0.8,-0.007846818973671864
E_to_F8,0.8,-0.00784644307922892
E_to_F8,0.8,-0.007827081401280741
E_to_F8,0.8,-0.0078103029541448064
E_to_F8,0.8,-0.007782272877833014
E_to_F8,0.8,-0.00775351820019086
E_to_F8,0.8,-0.007725398888185856
E_to_F8,0.8,-0.007709203444558644
E_to_F8,0.8,-0.007695128896129808
E_to_F8,0.8,-0.007693537656325358
E_to_F8,0.8,-0.007663008286564967
E_to_F8,0.8,-0.007634230394864915
E_to_F8,0.8,-0.007613827935541357
E_to_F8,0.8,-0.007609786334492303
E_to_F8,0.8,-0.007587644164147999
E_to_F8,0.8,-0.007548509416979232
E_to_F8,0.8,-0.00754324224276507
E_to_F8,0.8,-0.007492698492877803
E_to_F8,0.8,-0.007450286005348542
E_to_F8,0.8,-0.007417577788738133
E_to_F8,0.8,-0.007413424019711171
E_to_F8,0.8,-0.00739960391862024
E_to_F8,0.8,-0.007330231375001325
E_to_F8,0.8,-0.007315098457565207
E_to_F8,0.8,-0.007304212363678254
E_to_F8,0.8,-0.007242180756427995
E_to_F8,0.8,-0.007232278503687826
E_to_F8,0.8,-0.007232128067480378
E_to_F8,0.8,-0.007168219023468524
E_to_F8,0.8,-0.00715953632413993
E_to_F8,0.8,-0.007055513113206322
E_to_F8,0.8,-0.007030726835797562
E_to_F8,0.8,-0.007027063959176166
E_to_F8,0.8,-0.006954613231642838
E_to_F8,0.8,-0.006946358937695072
E_to_F8,0.8,-0.0069291308481561524
E_to_F8,0.8,-0.006877742008182227
E_to_F8,0.8,-0.006800951421322907
E_to_F8,0.8,-0.006781694456335952
E_to_F8,0.8,-0.006780168173760097
E_to_F8,0.8,-0.00675701048036786
E_to_F8,0.8,-0.006741937796407758
E_to_F8,0.8,-0.006723868279047025
E_to_F8,0.8,-0.0067133933169054565
E_to_F8,0.8,-0.006694906556509379
E_to_F8,0.8,-0.006672966589510805
E_to_F8,0.8,-0.006661238230786074
E_to_F8,0.8,-0.006656536373050722
E_to_F8,0.8,-0.006649353600504423
E_to_F8,0.8,-0.006634964734460259
E_to_F8,0.8,-0.0066314429884629525
E_to_F8,0.8,-0.006612570904914477
E_to_F8,0.8,-0.006609569500869488
E_to_F8,0.8,-0.006602659177655597
E_to_F8,0.8,-0.006599050867170014
E_to_F8,0.8,-0.006593858569989736
E_to_F8,0.8,-0.006560688605932191
E_to_F8,0.8,-0.006560688605932191
E_to_F8,0.8,-0.0065538979332872855
E_to_F8,0.8,-0.0065186886275783494
E_to_F8,0.8,-0.0065125432031045965
E_to_F8,0.8,-0.0064837867164775536
E_to_F8,0.8,-0.006453307436782583
E_to_F8,0.8,-0.0064387859846819235
E_to_F8,0.8,-0.006425740671184768
E_to_F8,0.8,-0.006400186118754083
E_to_F8,0.8,-0.006394125779129492
E_to_F8,0.8,-0.006392699852248107
E_to_F8,0.8,-0.006383209000413941
E_to_F8,0.8,-0.006363589291607548
E_to_F8,0.8,-0.006358558762762283
E_to_F8,0.8,-0.006332752962880778
E_to_F8,0.8,-0.006317411301915177
E_to_F8,0.8,-0.0063070488355034225
E_to_F8,0.8,-0.0063070488355034225
E_to_F8,0.8,-0.0063070488355034225
E_to_F8,0.8,-0.0063070488355034225
E_to_F8,0.8,-0.0063070488355034225
E_to_F8,0.8,-0.0063070488355034225
E_to_F8,0.8,-0.0063070488355034225
E_to_F8,0.8,-0.0063070488355034225
E_to_F8,0.8,-0.0063070488355034225
E_to_F8,0.8,-0.0063070488355034225
E_to_F8,0.8,-0.006291392547863887
E_to_F8,0.8,-0.006291144034956137
E_to_F8,0.8,-0.00629084583041282
E_to_F8,0.8,-0.006281479217731161
E_to_F8,0.8,-0.006278156160776054
E_to_F8,0.8,-0.006276687724226573
E_to_F8,0.8,-0.006265240346468921
E_to_F8,0.8,-0.0062578825588474885
E_to_F8,0.8,-0.006256584017569933
E_to_F8,0.8,-0.006235727753815812
E_to_F8,0.8,-0.006226057597661128
E_to_F8,0.8,-0.006186307547615369
E_to_F8,0.8,-0.006170441660252685
E_to_F8,0.8,-0.006165436595389547
E_to_F8,0.8,-0.0061635915918104855
E_to_F8,0.8,-0.006145212437321221
E_to_F8,0.8,-0.006121420237720186
E_to_F8,0.8,-0.006105889955812818
E_to_F8,0.8,-0.006105159051031502
E_to_F8,0.8,-0.0060965012629190605
E_to_F8,0.8,-0.006079390206292805
E_to_F8,0.8,-0.006052098422020964
E_to_F8,0.8,-0.006046350761454782
E_to_F8,0.8,-0.006038497654647054
E_to_F8,0.8,-0.006038497654647054
E_to_F8,0.8,-0.005999626130052272
E_to_F8,0.8,-0.005992999071613494
E_to_F8,0.8,-0.005984136017302614
E_to_F8,0.8,-0.005984136017302614
E_to_F8,0.8,-0.005984136017302614
E_to_F8,0.8,-0.005984136017302614
E_to_F8,0.8,-0.005984136017302614
E_to_F8,0.8,-0.005984136017302614
E_to_F8,0.8,-0.005984136017302614
E_to_F8,0.8,-0.005984136017302614
E_to_F8,0.8,-0.005984136017302614
E_to_F8,0.8,-0.005984136017302614
E_to_F8,0.8,-0.00598194562631161
E_to_F8,0.8,-0.005981583178334748
E_to_F8,0.8,-0.005966104069073735
E_to_F8,0.8,-0.005964996980127066
E_to_F8,0.8,-0.005956399379909029
E_to_F8,0.8,-0.005956399379909029
E_to_F8,0.8,-0.005933301159674275
E_to_F8,0.8,-0.005917802491181482
E_to_F8,0.8,-0.0059015986936082725
E_to_F8,0.8,-0.005898613110854645
E_to_F8,0.8,-0.0058956507805666535
E_to_F8,0.8,-0.005880567897034382
E_to_F8,0.8,-0.005870426911018244
E_to_F8,0.8,-0.005869080191184059
E_to_F8,0.8,-0.005866271327498167
E_to_F8,0.8,-0.005864678659695545
E_to_F8,0.8,-0.00586212184030035
E_to_F8,0.8,-0.00586212184030035
E_to_F8,0.8,-0.005854652020446365
E_to_F8,0.8,-0.0058397443210470535
E_to_F8,0.8,-0.005823297141076248
E_to_F8,0.8,-0.005760311435376477
E_to_F8,0.8,-0.005746677049061154
E_to_F8,0.8,-0.005723752659866066
