sparsity,gap_decile,score_gap_swapped_norm_median,mass_dropped_mean_median,qblock_rel_l2_D_median,qblock_rel_l2_C_median,wrong_mask_excess_median,n
0.8,1,0.0006339434526943112,0.0016442742198705673,0.12129657715559006,0.12103109806776047,8.065253496170044e-07,2725
0.8,2,0.0016729716303198127,0.001636410946957767,0.11418527364730835,0.1147427186369896,3.0472874641418457e-06,2725
0.8,3,0.002570884419238897,0.001713875331915915,0.10597893595695496,0.10632149130105972,3.2652169466018677e-06,2725
0.8,4,0.003419238360337845,0.00209836196154356,0.11639849841594696,0.11503355205059052,1.1128140613436699e-06,2725
0.8,5,0.004310987703833534,0.0016818681033328176,0.09967409819364548,0.0995374545454979,4.833098500967026e-06,2725
0.8,6,0.005310276293972,0.0020534838549792767,0.10159950703382492,0.10154352337121964,0.0,2725
0.8,7,0.006509656268718582,0.0013038711622357368,0.06410485506057739,0.06349228322505951,2.041459083557129e-06,2725
0.8,8,0.008027842300033153,0.0010449140099808574,0.03646254539489746,0.03619648143649101,3.8545113056898117e-07,2725
0.8,9,0.010369254268728803,0.0007609506137669086,0.021208561956882477,0.021462570875883102,5.402961189560074e-09,2725
0.8,10,0.014908873743892794,8.513077045790851e-05,0.00963946245610714,0.01000448688864708,0.0,2732
0.9,1,0.0004957701060454203,0.0037630132865160704,0.18663418292999268,0.18738676607608795,0.0,2267
0.9,2,0.001449004460515077,0.0033802499528974295,0.17431128025054932,0.17507728934288025,7.146969437599182e-06,2267
0.9,3,0.0023151051810916972,0.0035612559877336025,0.17901378870010376,0.17831803858280182,0.0,2267
0.9,4,0.003180779639816201,0.003529908834025264,0.17070087790489197,0.17278262972831726,0.0,2267
0.9,5,0.0041269498806867574,0.003275908762589097,0.15495799481868744,0.153773233294487,1.0125106200575829e-05,2267
0.9,6,0.00516856626864261,0.0028246156871318817,0.14162179827690125,0.1415155529975891,0.0,2267
0.9,7,0.006577992687484386,0.002672948408871889,0.11574704200029373,0.11575814336538315,0.0,2267
0.9,8,0.008294564909501116,0.0024913176894187927,0.09751730412244797,0.09189408272504807,0.0,2267
0.9,9,0.010914855990958419,0.0020689554512500763,0.03827889636158943,0.03640379384160042,0.0,2267
0.9,10,0.01632976124725273,0.0004934604512527585,0.01668204739689827,0.01840543933212757,0.0,2271
0.95,1,0.00046318237502480014,0.006443011574447155,0.2601545453071594,0.25929003953933716,0.0,1743
0.95,2,0.0012043745770724107,0.005948171950876713,0.25005146861076355,0.2515477240085602,0.0,1743
0.95,3,0.0019975226566069874,0.006153165362775326,0.2490750551223755,0.2517959177494049,0.0,1743
0.95,4,0.0028524693299376448,0.005633554421365261,0.2629120647907257,0.2644542455673218,1.1213123798370361e-05,1743
0.95,5,0.0036983419108717304,0.005930745974183083,0.2416210174560547,0.23809921741485596,0.0,1743
0.95,6,0.004779729757308745,0.005448363721370697,0.22265204787254333,0.22233302891254425,-2.49429140239954e-05,1743
0.95,7,0.006160519664012,0.004330738913267851,0.21610580384731293,0.21382638812065125,0.0,1743
0.95,8,0.007988122362867132,0.0034960906486958265,0.14772146940231323,0.1422746330499649,0.0,1743
0.95,9,0.010762695575195083,0.002453596331179142,0.09023095667362213,0.08625210076570511,1.0008690878748894e-05,1743
0.95,10,0.01705542399770786,0.0021170019172132015,0.029884716495871544,0.026426222175359726,1.7377547919750214e-05,1743
