layer,region,wrong_mask_excess_rel_l2_median,wrong_mask_relative_excess_median,sat_frac_q_nvfp4_median,sat_frac_k_nvfp4_median,q_absmax_median,k_absmax_median,q_intra_group_dynamic_range_median,n
0,affected,5.284091457724571e-06,3.451512164216329e-05,0.09578586742281914,0.09402593597769737,5.1875,5.421875,12.180456638336182,3600
1,affected,7.595866918563843e-05,0.0008273974220021508,0.10105405002832413,0.10313363373279572,8.75,8.90625,4.414937973022461,3600
2,affected,0.00020354799926280975,0.0017011565664553831,0.10156490281224251,0.10226836055517197,9.4375,9.3125,3.90238094329834,3600
5,unaffected,7.97118991613388e-05,0.0005518886457956667,0.1045384630560875,0.10390852764248848,9.3125,9.0,3.528205156326294,3600
6,unaffected,4.4345855712890625e-05,0.00016502123375142921,0.10975436493754387,0.10991352051496506,6.71875,6.8125,3.018309712409973,3600
8,broad,6.927549839019775e-05,0.0004603792014000282,0.10738900676369667,0.1056206114590168,8.875,8.5625,3.163907766342163,3600
10,unaffected,1.1198222637176514e-05,5.924048478965832e-05,0.10893815010786057,0.10912103205919266,7.875,7.28125,3.1355931758880615,3600
11,unaffected,2.300739288330078e-05,0.00012702790721704345,0.10836371034383774,0.10913535207509995,7.84375,8.0,3.135678291320801,3600
13,unaffected,2.600252628326416e-06,1.726275601817711e-05,0.10955550894141197,0.10897836461663246,8.1875,7.53125,3.140268921852112,3600
16,broad,1.385807991027832e-05,7.80243398496729e-05,0.10901300981640816,0.10976610332727432,7.78125,7.25,3.1636364459991455,3600
20,broad,4.2848289012908936e-05,0.0005252953923685833,0.10427642613649368,0.10251066461205482,9.75,10.75,3.3478260040283203,3600
23,broad,2.8120353817939758e-05,0.0001457634459055281,0.10643121227622032,0.10691461712121964,9.3125,8.875,3.241672158241272,3600
24,broad,0.0001056445762515068,0.0004417444620196195,0.10778152942657471,0.10773173719644547,7.78125,8.8125,3.1466667652130127,3600
25,broad,2.7606263756752014e-05,0.00021811222188075657,0.10849388688802719,0.10830171406269073,7.765625,8.625,3.1336405277252197,3600
27,affected,7.007317617535591e-05,0.0013763071220544514,0.10427982360124588,0.10197916999459267,7.84375,9.3125,3.7322055101394653,3600
28,affected,2.1547661162912846e-05,0.000661894903218439,0.09999347105622292,0.0977259948849678,8.75,10.25,3.9917012453079224,3600
29,affected,2.8438866138458252e-05,0.00035171138393943623,0.10296336188912392,0.10398143902420998,6.171875,5.90625,3.5439404249191284,3600
