geometry,config,sparsity,rel_l2_median,rel_l2_p10,rel_l2_p90,n
128x64-raster,A,,0.0,0.0,0.0,20400
128x64-raster,B,,0.05203893035650253,0.025657319463789463,0.17399696707725534,20400
128x64-raster,B_sim,,0.05203893035650253,0.025657317787408828,0.17399695366621026,20400
128x64-raster,C,0.8,0.10580692812800407,0.013563132472336292,0.3298629432916644,20400
128x64-raster,D,0.8,0.10571485012769699,0.013683577347546817,0.3298656851053241,20400
128x64-raster,D8,0.8,0.10573514550924301,0.013554245047271254,0.32997467517852824,20400
128x64-raster,C_rand,0.8,0.11454924568533897,0.03707305267453194,0.32848839759826676,20400
128x64-raster,E,0.8,0.15532097965478897,0.06341242417693138,0.35213803052902237,20400
128x64-raster,F8,0.8,0.1552427113056183,0.0633960172533989,0.35228835940361025,20400
128x64-raster,F16,0.8,0.155241921544075,0.06339000836014748,0.3522021234035496,20400
128x64-raster,C,0.9,0.1762191504240036,0.031576032564044,0.4826354682445526,20400
128x64-raster,D,0.9,0.17646294832229614,0.03201698884367943,0.48324304819107056,20400
128x64-raster,D8,0.9,0.17619580030441284,0.031607236713171005,0.48265713453292847,20400
128x64-raster,C_rand,0.9,0.17967408895492554,0.05900384448468685,0.4804812580347064,20400
128x64-raster,E,0.9,0.2126404047012329,0.08561118319630623,0.49812886416912083,20400
128x64-raster,F8,0.9,0.21256078034639359,0.08547035828232766,0.49801605343818667,20400
128x64-raster,F16,0.9,0.21252436935901642,0.08549624979496002,0.497984078526497,20400
128x64-raster,C,0.95,0.2740054428577423,0.06959089934825897,0.6527753055095673,20400
128x64-raster,D,0.95,0.27449917793273926,0.070040462911129,0.6536083102226258,20400
128x64-raster,D8,0.95,0.274136483669281,0.06944060176610947,0.6525456428527839,20400
128x64-raster,C_rand,0.95,0.2761213928461075,0.09732600897550583,0.6487276434898385,20400
128x64-raster,E,0.95,0.29614435136318207,0.11672431901097298,0.6636349558830261,20400
128x64-raster,F8,0.95,0.2958376854658127,0.11675017699599267,0.6632313430309297,20400
128x64-raster,F16,0.95,0.2959292382001877,0.11682442501187325,0.6631180047988892,20400
64x64-raster,A,,0.0,0.0,0.0,20400
64x64-raster,C,0.8,0.09790657833218575,0.010859093070030213,0.3257944107055664,20400
64x64-raster,C_null,0.8,0.09790657833218575,0.010859093070030213,0.3257944107055664,20400
64x64-raster,D,0.8,0.0979546569287777,0.010870572272688152,0.3256163001060486,20400
64x64-raster,C_rand,0.8,0.10947362333536148,0.03515460751950741,0.3245816737413406,20400
64x64-raster,C,0.9,0.1596265211701393,0.022772976942360402,0.475518137216568,20400
64x64-raster,C_null,0.9,0.1596265211701393,0.022772976942360402,0.475518137216568,20400
64x64-raster,D,0.9,0.1596124991774559,0.023007863759994508,0.47613307833671575,20400
64x64-raster,C_rand,0.9,0.16277121752500534,0.0528603058308363,0.47308312654495277,20400
64x64-raster,C,0.95,0.24247518926858902,0.04677758663892746,0.6356848418712617,20400
64x64-raster,C_null,0.95,0.24247518926858902,0.04677758663892746,0.6356848418712617,20400
64x64-raster,D,0.95,0.24221640080213547,0.0471905380487442,0.636489647626877,20400
64x64-raster,C_rand,0.95,0.2446649968624115,0.08188608735799789,0.6327675580978394,20400
64x64-cube,A,,0.0,0.0,0.0,20400
64x64-cube,C,0.8,0.08460834622383118,0.008975522592663765,0.38290322422981277,20400
64x64-cube,C_null,0.8,0.08460834622383118,0.008975522592663765,0.38290322422981277,20400
64x64-cube,D,0.8,0.08462437242269516,0.009039658028632403,0.3829061657190325,20400
64x64-cube,C_rand,0.8,0.10198574885725975,0.034972143918275835,0.3809270888566972,20400
64x64-cube,C,0.9,0.136905275285244,0.01973746679723263,0.5161938965320588,20400
64x64-cube,C_null,0.9,0.136905275285244,0.01973746679723263,0.5161938965320588,20400
64x64-cube,D,0.9,0.1369941458106041,0.019790955632925034,0.5162614703178413,20400
64x64-cube,C_rand,0.9,0.1467907428741455,0.05205320902168751,0.5120438635349274,20400
64x64-cube,C,0.95,0.20002374053001404,0.03491402789950371,0.6462179660797132,20400
64x64-cube,C_null,0.95,0.20002374053001404,0.03491402789950371,0.6462179660797132,20400
64x64-cube,D,0.95,0.20018913596868515,0.03516899794340134,0.6463230848312378,20400
64x64-cube,C_rand,0.95,0.20477157831192017,0.0712894320487976,0.6387760579586031,20400
