metric,candidate,reference,value
mean_abs_pixel_diff,SPARSE-BF16,DENSE-BF16,0.12212109061576551
mean_abs_pixel_diff,SPARSE-BF16,DENSE-BF16,0.17496575226169403
mean_abs_pixel_diff,SPARSE-BF16,DENSE-BF16,0.19471975588730597
mean_abs_pixel_diff,SPARSE-BF16,DENSE-BF16,0.1460503865913511
mean_abs_pixel_diff,SPARSE-BF16,DENSE-BF16,0.16895357814785597
mean_abs_pixel_diff,SPARSE-BF16,DENSE-BF16,0.2744581510035237
mean_abs_pixel_diff,SPARSE-BF16,DENSE-BF16,0.17029687809116467
mean_abs_pixel_diff,SPARSE-BF16,DENSE-BF16,0.16056989257416418
mean_abs_pixel_diff,SPARSE-BF16,DENSE-BF16,0.13017976374594462
mean_abs_pixel_diff,SPARSE-BF16,DENSE-BF16,0.1659844260005945
mean_abs_pixel_diff,DENSE-FP4,DENSE-BF16,0.04035427162035163
mean_abs_pixel_diff,DENSE-FP4,DENSE-BF16,0.08131363183822865
mean_abs_pixel_diff,DENSE-FP4,DENSE-BF16,0.07421994392436881
mean_abs_pixel_diff,DENSE-FP4,DENSE-BF16,0.0583252834672476
mean_abs_pixel_diff,DENSE-FP4,DENSE-BF16,0.09893076189135126
mean_abs_pixel_diff,DENSE-FP4,DENSE-BF16,0.1161150603275756
mean_abs_pixel_diff,DENSE-FP4,DENSE-BF16,0.11880686617204506
mean_abs_pixel_diff,DENSE-FP4,DENSE-BF16,0.06112074867335882
mean_abs_pixel_diff,DENSE-FP4,DENSE-BF16,0.06687122129168807
mean_abs_pixel_diff,DENSE-FP4,DENSE-BF16,0.07442069327867747
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.021187342135252373
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.04712986721700162
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.03440685041773177
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.015914920723059642
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.028027537025780924
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.05285469838633773
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.040017181015397044
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.01570751968662334
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.02348553123284936
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE16,0.04477697762932797
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.019491354576630898
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.04546441059015944
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.033678638342627625
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.01701190177053669
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.0272692173081032
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.04884416672126067
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.03938877481919647
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.014217440302366696
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.02313428709020692
mean_abs_pixel_diff,SPARSE-FP4-NAIVE,SPARSE-FP4-ROUTE8,0.042521552510234865
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.019775092248311837
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.04911412027197396
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.03619133798183237
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.016190931720800057
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.02676012789484845
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.049885989493353655
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.0392252787414628
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.013647832932874247
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.022741251770700598
mean_abs_pixel_diff,SPARSE-FP4-ROUTE8,SPARSE-FP4-ROUTE16,0.036019013888274644
lpips,SPARSE-BF16,DENSE-BF16,0.4822244644165039
lpips,SPARSE-BF16,DENSE-BF16,0.678133487701416
lpips,SPARSE-BF16,DENSE-BF16,0.6180436015129089
lpips,SPARSE-BF16,DENSE-BF16,0.49156442284584045
