timestep,sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.98955,0.984048,0.99267,0.008621,0.98657,0.975471,0.994033,0.906856,0.996895,720,0.994747,0.99196,0.996321,0.004361,0.993216,0.987583,0.997008,0.951153,0.998445,0.0,720,0.0,720,0.472656,720,149.0,720,0.999948,720,1e-06,720
0,0.8,nvfp4,0.2,720,False,native,720,0.975316,0.966642,0.980769,0.014127,0.971662,0.954488,0.984063,0.897593,0.991691,720,0.987504,0.983038,0.990291,0.007253,0.98558,0.976714,0.991968,0.946033,0.995828,0.0,720,0.0,720,0.824219,720,149.0,720,0.99968,720,0.106455,720
0,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.975242,0.96666,0.980862,0.014202,0.9717,0.954054,0.98428,0.899096,0.992143,720,0.987466,0.983048,0.990339,0.007291,0.9856,0.976487,0.992078,0.946867,0.996056,0.0,720,0.0,720,0.820312,720,149.0,720,0.999678,720,0.106295,720
0,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.984496,0.974452,0.989538,0.015087,0.980398,0.963263,0.991935,0.9073,0.997599,720,0.992188,0.987061,0.994742,0.007681,0.990058,0.981288,0.995951,0.951397,0.998798,0.0,720,0.0,720,0.367188,720,134.0,720,0.999948,720,1e-06,720
0,0.9,nvfp4,0.1,720,False,native,720,0.964726,0.953589,0.973756,0.020167,0.960792,0.935545,0.979774,0.851847,0.991026,720,0.982046,0.976243,0.986704,0.01046,0.979905,0.966699,0.989784,0.919997,0.995493,0.0,720,0.0,720,0.699219,720,132.0,720,0.99968,720,0.106455,720
0,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.964726,0.953302,0.973756,0.020454,0.960749,0.93577,0.979332,0.851847,0.990877,720,0.982046,0.976093,0.986704,0.010611,0.979883,0.966819,0.989558,0.919997,0.995418,0.0,720,0.0,720,0.695312,720,133.0,720,0.999678,720,0.106295,720
1,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.990676,0.985916,0.993121,0.007205,0.988038,0.978072,0.994335,0.877194,0.997198,720,0.995316,0.992908,0.996549,0.003641,0.993963,0.988915,0.997159,0.93458,0.998597,0.0,720,0.0,720,0.433594,720,135.0,720,,0,1e-06,720
1,0.8,nvfp4,0.2,720,False,native,720,0.977056,0.968422,0.982333,0.013911,0.973158,0.956504,0.985318,0.876392,0.991616,720,0.988395,0.983958,0.991088,0.00713,0.986345,0.977769,0.992605,0.934125,0.99579,0.0,720,0.0,720,0.800781,720,136.5,720,,0,0.106758,720
1,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.976908,0.968404,0.982333,0.013929,0.973161,0.956504,0.9854,0.87686,0.991842,720,0.988319,0.983948,0.991088,0.007139,0.986347,0.977769,0.992646,0.93439,0.995904,0.0,720,0.0,720,0.802734,720,134.5,720,,0,0.106591,720
1,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.985902,0.97867,0.990431,0.01176,0.982143,0.967601,0.992814,0.861428,0.9967,720,0.992901,0.98922,0.995192,0.005972,0.990946,0.983534,0.996394,0.925556,0.998347,0.001293,720,0.001305,720,0.34375,720,124.0,720,,0,1e-06,720
1,0.9,nvfp4,0.1,720,False,native,720,0.967266,0.95646,0.975257,0.018797,0.962501,0.936812,0.980952,0.834367,0.991026,720,0.983361,0.977746,0.987474,0.009728,0.980779,0.967375,0.990385,0.909706,0.995493,0.001293,720,0.001244,720,0.671875,720,123.0,720,,0,0.106758,720
1,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.967194,0.956352,0.975367,0.019015,0.962519,0.937235,0.980952,0.835125,0.990877,720,0.983323,0.977689,0.98753,0.009841,0.980789,0.967601,0.990385,0.910156,0.995418,0.001293,720,0.001217,720,0.671875,720,124.0,720,,0,0.106591,720
2,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.991766,0.987937,0.993724,0.005787,0.989766,0.982773,0.994712,0.91844,0.997046,720,0.995866,0.993932,0.996852,0.00292,0.994845,0.991311,0.997349,0.957486,0.998521,0.000702,720,0.00078,720,0.390625,720,123.0,720,,0,1e-06,720
2,0.8,nvfp4,0.2,720,False,native,720,0.979097,0.971366,0.983974,0.012608,0.975758,0.960002,0.986739,0.885988,0.991992,720,0.989438,0.985475,0.991922,0.006447,0.987688,0.979593,0.993325,0.939548,0.99598,0.000702,720,0.000597,720,0.765625,720,126.0,720,,0,0.106816,720
2,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.979022,0.971347,0.983899,0.012552,0.97574,0.96033,0.986814,0.885718,0.991992,720,0.9894,0.985465,0.991884,0.006419,0.987679,0.979763,0.993363,0.939396,0.99598,0.000702,720,0.00065,720,0.763672,720,126.0,720,,0,0.10663,720
2,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.987459,0.980658,0.991324,0.010666,0.984033,0.971272,0.993113,0.865602,0.997,720,0.99369,0.990234,0.995643,0.005409,0.991917,0.985427,0.996544,0.92796,0.998498,0.001503,720,0.001511,720,0.3125,720,115.0,720,,0,1e-06,720
2,0.9,nvfp4,0.1,720,False,native,720,0.969304,0.958511,0.97845,0.019939,0.965373,0.942649,0.983609,0.825312,0.992069,720,0.984413,0.978816,0.989108,0.010291,0.982272,0.970478,0.991737,0.904297,0.996019,0.001503,720,0.001564,720,0.640625,720,114.0,720,,0,0.106816,720
2,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.969376,0.958511,0.97845,0.019939,0.965323,0.942507,0.983609,0.823312,0.992218,720,0.98445,0.978816,0.989108,0.010291,0.982246,0.970403,0.991737,0.903095,0.996094,0.001503,720,0.001553,720,0.644531,720,113.5,720,,0,0.10663,720
3,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.991917,0.988462,0.993875,0.005413,0.990012,0.983212,0.994856,0.92812,0.996668,720,0.995942,0.994198,0.996928,0.002731,0.99497,0.991535,0.997421,0.96272,0.998331,0.000881,720,0.000843,720,0.382812,720,123.0,720,,0,1e-06,720
3,0.8,nvfp4,0.2,720,False,native,720,0.979951,0.972379,0.984197,0.011818,0.976284,0.961321,0.986964,0.895547,0.992143,720,0.989874,0.985996,0.992036,0.00604,0.987959,0.980279,0.993439,0.944895,0.996056,0.000881,720,0.000904,720,0.746094,720,121.5,720,,0,0.106646,720
3,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.979988,0.972306,0.984197,0.011892,0.976256,0.961708,0.987038,0.89541,0.991766,720,0.989893,0.985958,0.992036,0.006077,0.987945,0.98048,0.993477,0.944819,0.995866,0.000881,720,0.000883,720,0.746094,720,121.5,720,,0,0.106477,720
3,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.987459,0.981247,0.991324,0.010077,0.984329,0.971418,0.99371,0.864426,0.9967,720,0.99369,0.990535,0.995643,0.005108,0.992066,0.985502,0.996845,0.927284,0.998347,0.001499,720,0.001492,720,0.308594,720,114.0,720,,0,1e-06,720
3,0.9,nvfp4,0.1,720,False,native,720,0.970105,0.958799,0.978781,0.019981,0.965931,0.941926,0.983757,0.822313,0.991175,720,0.984826,0.978966,0.989277,0.01031,0.982564,0.970095,0.991812,0.902494,0.995568,0.001499,720,0.001587,720,0.640625,720,112.0,720,,0,0.106646,720
3,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.970032,0.958655,0.978744,0.020089,0.965932,0.943173,0.983772,0.821565,0.991473,720,0.984788,0.978891,0.989258,0.010367,0.982564,0.970756,0.991819,0.902043,0.995718,0.001499,720,0.001617,720,0.636719,720,111.5,720,,0,0.106477,720
4,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.99218,0.988893,0.993875,0.004982,0.990351,0.983451,0.995089,0.935905,0.997349,720,0.996075,0.994416,0.996928,0.002513,0.995143,0.991657,0.997539,0.966892,0.998673,0.000965,720,0.000938,720,0.371094,720,118.0,720,,0,1e-06,720
4,0.8,nvfp4,0.2,720,False,native,720,0.980249,0.972545,0.984496,0.011951,0.976613,0.961671,0.987488,0.893573,0.991766,720,0.990026,0.986082,0.992188,0.006106,0.988128,0.980461,0.993704,0.943796,0.995866,0.000965,720,0.000977,720,0.742188,720,119.0,720,,0,0.106688,720
4,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.980174,0.972619,0.984496,0.011877,0.976583,0.961598,0.987196,0.893437,0.991616,720,0.989988,0.98612,0.992188,0.006068,0.988112,0.980423,0.993557,0.94372,0.99579,0.000965,720,0.000927,720,0.742188,720,120.0,720,,0,0.106509,720
4,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.987756,0.98169,0.991622,0.009932,0.984751,0.973888,0.99356,0.87124,0.99685,720,0.99384,0.99076,0.995793,0.005033,0.992283,0.986771,0.99677,0.93119,0.998422,0.001587,720,0.001625,720,0.302734,720,111.5,720,,0,1e-06,720
