layer,timestep,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,0,24,False,native,24,0.969819,0.960428,0.973395,0.012967,0.966841,0.954416,0.976093,0.938111,0.989437,24,0.984678,0.979815,0.986518,0.006703,0.983101,0.976676,0.987902,0.968067,0.994691,0.001247,24,0.001092,24,0.886719,24,0.0,24,0.999272,24,0.096604,24
0,1,24,False,native,24,0.969304,0.960501,0.973173,0.012672,0.9664,0.954561,0.975945,0.937897,0.988237,24,0.984413,0.979852,0.986404,0.006552,0.982874,0.976752,0.987826,0.967954,0.994084,0.001201,24,0.001216,24,0.876953,24,0.0,24,,0,0.09667,24
0,2,24,False,native,24,0.967871,0.959863,0.973154,0.013291,0.966522,0.953258,0.975723,0.944184,0.988912,24,0.983673,0.979521,0.986394,0.006874,0.982943,0.976069,0.987712,0.971291,0.994425,0.001208,24,0.001237,24,0.882812,24,0.0,24,,0,0.096382,24
0,3,24,False,native,24,0.965928,0.95819,0.972601,0.014411,0.96631,0.95485,0.976908,0.94483,0.990413,24,0.982668,0.978648,0.98611,0.007462,0.982833,0.976904,0.988319,0.971632,0.995184,0.001245,24,0.001158,24,0.896484,24,0.0,24,,0,0.096028,24
0,4,24,False,native,24,0.966111,0.961162,0.973709,0.012547,0.966508,0.954343,0.976241,0.943539,0.990113,24,0.982763,0.980194,0.986679,0.006485,0.982934,0.976638,0.987978,0.97095,0.995032,0.001156,24,0.001199,24,0.890625,24,0.0,24,,0,0.09569,24
0,5,24,False,native,24,0.965269,0.961179,0.972769,0.01159,0.966678,0.955358,0.97713,0.947127,0.989737,24,0.982327,0.980203,0.986195,0.005992,0.983026,0.977169,0.988433,0.972846,0.994842,0.001163,24,0.001117,24,0.896484,24,0.0,24,,0,0.095452,24
0,6,24,False,native,24,0.965306,0.96012,0.971938,0.011818,0.966293,0.953981,0.977575,0.945404,0.990864,24,0.982346,0.979653,0.985769,0.006115,0.982823,0.976449,0.98866,0.971936,0.995411,0.001144,24,0.001185,24,0.90625,24,0.0,24,,0,0.095203,24
0,7,24,False,native,24,0.96472,0.959827,0.97227,0.012443,0.966209,0.956083,0.978095,0.944471,0.988537,24,0.982043,0.979502,0.985939,0.006438,0.982782,0.977549,0.988926,0.971443,0.994235,0.001104,24,0.001102,24,0.902344,24,0.0,24,,0,0.095028,24
0,8,24,False,native,24,0.964646,0.959955,0.971441,0.011487,0.966178,0.954561,0.978169,0.946409,0.989963,24,0.982005,0.979568,0.985513,0.005945,0.982766,0.976752,0.988964,0.972467,0.994956,0.001142,24,0.001141,24,0.914062,24,0.0,24,,0,0.094885,24
0,9,24,False,native,24,0.964133,0.959809,0.971055,0.011245,0.965889,0.954416,0.978837,0.947199,0.989437,24,0.981739,0.979492,0.985314,0.005821,0.982618,0.976676,0.989305,0.972884,0.994691,0.001028,24,0.001083,24,0.908203,24,0.0,24,,0,0.094766,24
0,10,24,False,native,24,0.964755,0.961322,0.971477,0.010155,0.966044,0.954561,0.977798,0.946912,0.988837,24,0.982062,0.980279,0.985532,0.005253,0.9827,0.976752,0.988774,0.972732,0.994387,0.001101,24,0.001142,24,0.896484,24,0.0,24,0.999329,24,0.094698,24
0,11,24,False,native,24,0.965158,0.961432,0.970963,0.009531,0.965975,0.952101,0.977427,0.946912,0.989812,24,0.98227,0.980336,0.985266,0.00493,0.982662,0.975463,0.988585,0.972732,0.99488,0.001113,24,0.001086,24,0.916016,24,0.0,24,,0,0.094647,24
0,12,24,False,native,24,0.964499,0.962308,0.971571,0.009263,0.96624,0.953185,0.976612,0.948566,0.990188,24,0.981929,0.980791,0.985579,0.004788,0.982801,0.976032,0.988167,0.973604,0.99507,0.001121,24,0.00103,24,0.910156,24,0.0,24,,0,0.094613,24
0,13,24,False,native,24,0.964755,0.962746,0.97122,0.008475,0.966502,0.951667,0.975649,0.950873,0.991616,24,0.982062,0.981019,0.985399,0.00438,0.982937,0.975235,0.987674,0.974818,0.99579,0.001066,24,0.001074,24,0.900391,24,0.0,24,,0,0.094589,24
0,14,24,False,native,24,0.96428,0.962744,0.971643,0.008898,0.966194,0.951378,0.976538,0.949863,0.989512,24,0.981815,0.981019,0.985617,0.004598,0.982779,0.975083,0.98813,0.974287,0.994728,0.001053,24,0.00115,24,0.900391,24,0.0,24,,0,0.094588,24
0,15,24,False,native,24,0.964317,0.961321,0.971274,0.009953,0.96566,0.949863,0.974909,0.949431,0.990038,24,0.981834,0.980279,0.985427,0.005148,0.982501,0.974287,0.987295,0.974059,0.994994,0.001109,24,0.001065,24,0.902344,24,0.0,24,,0,0.094613,24
0,16,24,False,native,24,0.964865,0.960355,0.971864,0.011509,0.965558,0.950512,0.974761,0.950152,0.988162,24,0.982118,0.979777,0.985731,0.005954,0.98245,0.974628,0.987219,0.974439,0.994046,0.001151,24,0.000976,24,0.904297,24,0.0,24,,0,0.09462,24
0,17,24,False,native,24,0.965451,0.960684,0.970777,0.010093,0.965188,0.949143,0.974909,0.945547,0.988462,24,0.982422,0.979947,0.985171,0.005224,0.982254,0.973908,0.987295,0.972012,0.994198,0.001173,24,0.001132,24,0.914062,24,0.0,24,,0,0.09464,24
0,18,24,False,native,24,0.965708,0.962344,0.970078,0.007733,0.965572,0.949287,0.97417,0.948134,0.988087,24,0.982555,0.98081,0.984811,0.004001,0.982457,0.973984,0.986916,0.973377,0.994008,0.001102,24,0.001127,24,0.916016,24,0.0,24,,0,0.094679,24
0,19,24,False,native,24,0.965671,0.961778,0.969305,0.007527,0.965349,0.948638,0.974466,0.947991,0.989437,24,0.982536,0.980516,0.984413,0.003897,0.98234,0.973642,0.987068,0.973301,0.994691,0.001111,24,0.001115,24,0.908203,24,0.0,24,,0,0.094721,24
0,20,24,False,native,24,0.965927,0.96085,0.970151,0.009301,0.965223,0.949575,0.974613,0.946984,0.989287,24,0.982668,0.980033,0.984849,0.004816,0.982273,0.974135,0.987144,0.97277,0.994615,0.00109,24,0.00105,24,0.916016,24,0.0,24,0.99928,24,0.094779,24
0,21,24,False,native,24,0.965451,0.961395,0.969599,0.008204,0.965135,0.949359,0.974835,0.946624,0.988162,24,0.982422,0.980317,0.984565,0.004248,0.982229,0.974022,0.987257,0.97258,0.994046,0.001176,24,0.001096,24,0.914062,24,0.0,24,,0,0.09483,24
0,22,24,False,native,24,0.965415,0.958171,0.969967,0.011795,0.964729,0.948494,0.974022,0.947343,0.988987,24,0.982403,0.978639,0.984754,0.006115,0.982017,0.973566,0.98684,0.97296,0.994463,0.001115,24,0.001031,24,0.919922,24,0.0,24,,0,0.094894,24
0,23,24,False,native,24,0.965378,0.960886,0.969488,0.008602,0.964884,0.949143,0.97321,0.947415,0.988537,24,0.982384,0.980052,0.984508,0.004456,0.9821,0.973908,0.986423,0.972998,0.994235,0.001107,24,0.00105,24,0.923828,24,0.0,24,,0,0.094946,24
0,24,24,False,native,24,0.965012,0.960174,0.968643,0.008469,0.964448,0.94871,0.974392,0.94483,0.987862,24,0.982194,0.979682,0.984072,0.00439,0.981872,0.97368,0.98703,0.971632,0.993894,0.001031,24,0.001187,24,0.914062,24,0.0,24,,0,0.095012,24
0,25,24,False,native,24,0.965671,0.960319,0.967799,0.00748,0.964796,0.949503,0.975205,0.947487,0.987188,24,0.982536,0.979758,0.983635,0.003878,0.982055,0.974097,0.987447,0.973035,0.993553,0.001217,24,0.001047,24,0.933594,24,0.0,24,,0,0.095076,24
