head,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,3000,False,native,3000,0.976394,0.967739,0.982723,0.014984,0.972982,0.952908,0.988498,0.902258,0.994307,3000,0.988056,0.983605,0.991286,0.007681,0.986245,0.975886,0.994216,0.948618,0.997145,0.001816,3000,0.0018,3000,0.539062,3000,0.0,3000,0.999761,300,0.1055,3000
1,3000,False,native,3000,0.978156,0.965705,0.985384,0.019679,0.973101,0.950176,0.98881,0.906071,0.994008,3000,0.988957,0.982553,0.992638,0.010085,0.986297,0.974452,0.994373,0.950721,0.996995,0.001863,3000,0.001852,3000,0.511719,3000,0.0,3000,0.999737,300,0.1055,3000
2,3000,False,native,3000,0.976247,0.960241,0.981247,0.021006,0.970213,0.948463,0.9842,0.910585,0.992665,3000,0.987981,0.979718,0.990535,0.010817,0.984821,0.97355,0.992037,0.9532,0.996319,0.001781,3000,0.001785,3000,0.539062,3000,0.0,3000,0.999711,300,0.1055,3000
3,3000,False,native,3000,0.976247,0.96183,0.982575,0.020745,0.970658,0.946199,0.986421,0.915671,0.992814,3000,0.987981,0.980544,0.991211,0.010667,0.985042,0.972356,0.993164,0.95598,0.996394,0.00171,3000,0.001702,3000,0.542969,3000,0.0,3000,0.999739,300,0.1055,3000
4,3000,False,native,3000,0.974488,0.964146,0.981985,0.017839,0.969636,0.941799,0.986569,0.836011,0.99192,3000,0.987079,0.981746,0.99091,0.009165,0.984505,0.970027,0.993239,0.910682,0.995944,0.001696,3000,0.001683,3000,0.570312,3000,0.0,3000,0.999771,300,0.1055,3000
5,3000,False,native,3000,0.975514,0.964146,0.981247,0.017101,0.971447,0.952192,0.985976,0.909489,0.993411,3000,0.987605,0.981746,0.990535,0.008789,0.985465,0.975511,0.992939,0.952599,0.996695,0.001678,3000,0.001674,3000,0.554688,3000,0.0,3000,0.999779,300,0.1055,3000
6,3000,False,native,3000,0.975954,0.966286,0.981726,0.015441,0.972195,0.954629,0.987014,0.91512,0.993859,3000,0.987831,0.982854,0.990779,0.007925,0.985843,0.976788,0.993465,0.955679,0.99692,0.001668,3000,0.001672,3000,0.546875,3000,0.0,3000,0.999772,300,0.1055,3000
7,3000,False,native,3000,0.975074,0.962843,0.980805,0.017962,0.967851,0.948463,0.985088,0.805507,0.994307,3000,0.98738,0.98107,0.990309,0.00924,0.98347,0.97355,0.992488,0.892278,0.997145,0.00172,3000,0.001706,3000,0.5625,3000,0.0,3000,0.999752,300,0.1055,3000
8,3000,False,native,3000,0.975807,0.964291,0.980805,0.016514,0.970384,0.946626,0.984348,0.886621,0.990579,3000,0.987755,0.981821,0.990309,0.008489,0.98491,0.972581,0.992112,0.939904,0.995267,0.001686,3000,0.001699,3000,0.550781,3000,0.0,3000,0.999747,300,0.1055,3000
9,3000,False,native,3000,0.97566,0.962698,0.981726,0.019028,0.967018,0.9339,0.986421,0.826063,0.994008,3000,0.98768,0.980995,0.990779,0.009784,0.983075,0.96582,0.993164,0.904748,0.996995,0.001721,3000,0.001698,3000,0.556641,3000,0.0,3000,0.999765,300,0.1055,3000
10,3000,False,native,3000,0.973903,0.963386,0.982575,0.019189,0.970938,0.952908,0.987014,0.904435,0.99192,3000,0.986779,0.981351,0.991211,0.00986,0.985195,0.975886,0.993465,0.94982,0.995944,0.001647,3000,0.001648,3000,0.578125,3000,0.0,3000,0.999749,300,0.1055,3000
11,3000,False,native,3000,0.975807,0.959088,0.982427,0.02334,0.968057,0.949334,0.985828,0.850688,0.991324,3000,0.987755,0.979117,0.991136,0.012019,0.98361,0.974008,0.992864,0.919321,0.995643,0.001714,3000,0.00171,3000,0.552734,3000,0.0,3000,0.99975,300,0.1055,3000
