timestep,sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.9938,0.991616,0.995157,0.003541,0.992952,0.988882,0.996139,0.974539,0.997803,720,0.99689,0.99579,0.997573,0.001782,0.996461,0.99441,0.998066,0.987106,0.9989,0.001059,720,0.001057,720,0.308594,720,0.0,720,0.99997,720,1e-06,720
0,0.8,nvfp4,0.2,720,False,native,720,0.977649,0.970334,0.982631,0.012297,0.97502,0.961518,0.985699,0.910794,0.992293,720,0.988698,0.984944,0.991239,0.006296,0.987319,0.980382,0.992798,0.953315,0.996132,0.001059,720,0.001063,720,0.792969,720,0.0,720,0.999707,720,0.106455,720
0,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.977687,0.970334,0.982556,0.012222,0.975008,0.961321,0.985781,0.91024,0.992293,720,0.988717,0.984944,0.991201,0.006258,0.987313,0.980279,0.99284,0.953011,0.996132,0.001059,720,0.001066,720,0.794922,720,0.0,720,0.999707,720,0.106295,720
0,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.991324,0.988053,0.99356,0.005508,0.990122,0.9842,0.995054,0.910859,0.998199,720,0.995643,0.99399,0.99677,0.002779,0.995026,0.992037,0.997521,0.95335,0.999099,0.00155,720,0.001556,720,0.222656,720,0.0,720,0.99997,720,1e-06,720
0,0.9,nvfp4,0.1,720,False,native,720,0.968648,0.96035,0.9761,0.015751,0.965776,0.94691,0.980672,0.851589,0.991175,720,0.984075,0.979774,0.987906,0.008132,0.982515,0.972731,0.990242,0.919847,0.995568,0.00155,720,0.001569,720,0.652344,720,0.0,720,0.999707,720,0.106455,720
0,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.968794,0.960494,0.9761,0.015606,0.965749,0.946768,0.980525,0.851718,0.991622,720,0.98415,0.979849,0.987906,0.008057,0.982501,0.972656,0.990167,0.919922,0.995793,0.00155,720,0.001586,720,0.652344,720,0.0,720,0.999707,720,0.106295,720
1,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.99429,0.992124,0.995535,0.003411,0.993291,0.988904,0.996366,0.970555,0.998106,720,0.997137,0.996046,0.997762,0.001716,0.996631,0.994421,0.99818,0.985058,0.999052,0.001096,720,0.001086,720,0.28125,720,0.0,720,,0,1e-06,720
1,0.8,nvfp4,0.2,720,False,native,720,0.979022,0.972029,0.983843,0.011814,0.97596,0.963329,0.986672,0.890315,0.992594,720,0.9894,0.985816,0.991856,0.00604,0.987794,0.981322,0.993291,0.941975,0.996283,0.001096,720,0.001089,720,0.773438,720,0.0,720,,0,0.106758,720
1,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.978837,0.971992,0.983899,0.011907,0.975955,0.963585,0.986672,0.889908,0.992444,720,0.989305,0.985797,0.991884,0.006087,0.987792,0.981455,0.993291,0.941748,0.996208,0.001096,720,0.001091,720,0.773438,720,0.0,720,,0,0.106591,720
1,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.99192,0.988498,0.994008,0.00551,0.990502,0.984052,0.995353,0.914294,0.998949,720,0.995944,0.994216,0.996995,0.002779,0.995218,0.991962,0.997671,0.955228,0.999474,0.001579,720,0.001595,720,0.207031,720,0.0,720,,0,1e-06,720
1,0.9,nvfp4,0.1,720,False,native,720,0.971053,0.961397,0.978156,0.016759,0.966971,0.947993,0.982442,0.836011,0.99192,720,0.985314,0.980319,0.988957,0.008639,0.983121,0.973302,0.991143,0.910682,0.995944,0.001579,720,0.001576,720,0.625,720,0.0,720,,0,0.106758,720
1,0.9,nvfp4_sim,0.1,720,False,simulated,720,0.97098,0.961252,0.978156,0.016904,0.966975,0.947879,0.982427,0.836391,0.992218,720,0.985276,0.980243,0.988957,0.008714,0.983123,0.973242,0.991136,0.910907,0.996094,0.001579,720,0.001571,720,0.625,720,0.0,720,,0,0.106591,720
2,0.8,fp8_e4m3,0.2,720,False,simulated,720,0.994856,0.993121,0.995837,0.002716,0.993946,0.989805,0.996593,0.97417,0.998333,720,0.997421,0.996549,0.997914,0.001365,0.996961,0.994876,0.998293,0.986916,0.999166,0.001134,720,0.001138,720,0.257812,720,0.0,720,,0,1e-06,720
2,0.8,nvfp4,0.2,720,False,native,720,0.981179,0.973782,0.985411,0.011629,0.977871,0.964902,0.988162,0.888284,0.992368,720,0.9905,0.986717,0.992652,0.005935,0.988775,0.982137,0.994046,0.940837,0.99617,0.001134,720,0.001143,720,0.728516,720,0.0,720,,0,0.106816,720
2,0.8,nvfp4_sim,0.2,720,False,simulated,720,0.981141,0.97393,0.985337,0.011407,0.977845,0.96488,0.98802,0.888217,0.992293,720,0.990481,0.986793,0.992614,0.005821,0.988761,0.982126,0.993974,0.940799,0.996132,0.001134,720,0.001134,720,0.726562,720,0.0,720,,0,0.10663,720
2,0.9,fp8_e4m3,0.1,720,False,simulated,720,0.992665,0.989538,0.994606,0.005068,0.991224,0.985517,0.995952,0.912369,0.998199,720,0.996319,0.994742,0.997296,0.002554,0.995582,0.992706,0.997972,0.954177,0.999099,0.001635,720,0.001633,720,0.1875,720,0.0,720,,0,1e-06,720
