sparsity,routing_precision,retained_fraction,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0.5,fp8_e4m3,0.5,72000,False,simulated,72000,0.995858,0.994825,0.996588,0.001762,0.995145,0.99246,0.997166,0.923908,0.998719,72000,0.997925,0.997406,0.998291,0.000885,0.997564,0.996216,0.998581,0.960449,0.999359,0.000626,72000,0.000626,72000,0.472656,72000,96.0,72000,0.999965,36000,1e-06,72000
0.5,nvfp4,0.5,72000,False,native,72000,0.988169,0.984586,0.990554,0.005968,0.986667,0.979159,0.992157,0.916818,0.99601,72000,0.994049,0.992233,0.995255,0.003021,0.99328,0.98947,0.996063,0.956604,0.998001,0.000626,72000,0.000629,72000,0.875,72000,96.0,72000,0.999775,36000,0.106243,72000
0.5,nvfp4_sim,0.5,72000,False,simulated,72000,0.988138,0.984556,0.990554,0.005998,0.986646,0.979132,0.992157,0.917042,0.995767,72000,0.994034,0.992218,0.995255,0.003036,0.993269,0.989456,0.996063,0.956726,0.997879,0.000626,72000,0.000626,72000,0.875,72000,96.0,72000,0.999774,36000,0.106071,72000
0.7,fp8_e4m3,0.3,72000,False,simulated,72000,0.99383,0.992117,0.99499,0.002873,0.992716,0.9884,0.995849,0.888258,0.998226,72000,0.996905,0.996043,0.997489,0.001446,0.99634,0.994166,0.99792,0.940823,0.999112,0.000751,72000,0.000751,72000,0.429688,72000,111.0,72000,0.999965,36000,1e-06,72000
0.7,nvfp4,0.3,72000,False,native,72000,0.983597,0.978173,0.987297,0.009124,0.981402,0.969969,0.989554,0.8927,0.994889,72000,0.991731,0.988966,0.993608,0.004642,0.990594,0.984755,0.994749,0.943309,0.997438,0.000751,72000,0.000751,72000,0.8125,72000,111.0,72000,0.999775,36000,0.106243,72000
0.7,nvfp4_sim,0.3,72000,False,simulated,72000,0.983548,0.978123,0.987297,0.009174,0.981373,0.969964,0.989554,0.891157,0.994889,72000,0.991706,0.988941,0.993608,0.004667,0.990579,0.984753,0.994749,0.942446,0.997438,0.000751,72000,0.000748,72000,0.8125,72000,111.0,72000,0.999774,36000,0.106071,72000
0.8,fp8_e4m3,0.2,72000,False,simulated,72000,0.992368,0.989662,0.993875,0.004213,0.990664,0.984496,0.994931,0.855138,0.99803,72000,0.99617,0.994804,0.996928,0.002124,0.995301,0.992188,0.997459,0.921913,0.999014,0.000992,72000,0.000992,72000,0.367188,72000,113.0,72000,0.999965,36000,1e-06,72000
0.8,nvfp4,0.2,72000,False,native,72000,0.980695,0.973653,0.98472,0.011067,0.977563,0.963585,0.987263,0.857883,0.993272,72000,0.990253,0.98665,0.992301,0.005651,0.988624,0.981455,0.993591,0.923506,0.996625,0.000992,72000,0.000984,72000,0.730469,72000,113.0,72000,0.999775,36000,0.106243,72000
0.8,nvfp4_sim,0.2,72000,False,simulated,72000,0.98062,0.973653,0.98472,0.011067,0.977539,0.963512,0.987263,0.857686,0.993498,72000,0.990215,0.98665,0.992301,0.005651,0.988612,0.981417,0.993591,0.923392,0.996738,0.000992,72000,0.000992,72000,0.730469,72000,113.0,72000,0.999774,36000,0.106071,72000
0.9,fp8_e4m3,0.1,72000,False,simulated,72000,0.989092,0.983905,0.991771,0.007866,0.986147,0.975367,0.99371,0.794191,0.998499,72000,0.994516,0.991887,0.995868,0.003981,0.993,0.98753,0.996845,0.885291,0.999249,0.001785,72000,0.001785,72000,0.273438,72000,104.0,72000,0.999965,36000,1e-06,72000
