layer,timestep,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,0,240,False,native,240,0.936576,0.925092,0.952123,0.02703,0.934372,0.891715,0.956496,0.890909,0.967484,240,0.967248,0.961088,0.975473,0.014386,0.96592,0.942758,0.977764,0.942308,0.983474,0.000862,240,0.001249,240,0.646484,240,114.5,240,0.99926,240,0.096604,240
0,5,240,False,native,240,0.943216,0.92356,0.953054,0.029493,0.937252,0.895702,0.965916,0.881289,0.978303,240,0.970778,0.960261,0.975962,0.0157,0.96743,0.944982,0.982662,0.936899,0.989032,0.001659,240,0.001617,240,0.625,240,104.5,240,,0,0.09547,240
0,10,240,False,native,240,0.939535,0.923978,0.952479,0.028501,0.93518,0.895648,0.959347,0.871503,0.97654,240,0.968825,0.960487,0.975661,0.015174,0.966329,0.944952,0.979252,0.93134,0.988131,0.001663,240,0.002869,240,0.625,240,112.5,240,0.999277,240,0.094776,240
0,15,240,False,native,240,0.936009,0.926762,0.95112,0.024357,0.933494,0.896027,0.963827,0.863382,0.974195,240,0.966947,0.961989,0.974947,0.012958,0.965402,0.945162,0.981581,0.926683,0.986929,0.002525,240,0.002762,240,0.660156,240,110.5,240,,0,0.094692,240
0,20,240,False,native,240,0.934743,0.926483,0.943074,0.016591,0.929644,0.895163,0.954514,0.847606,0.971272,240,0.966271,0.961839,0.970703,0.008864,0.963355,0.944681,0.976728,0.917518,0.985427,0.002556,240,0.002502,240,0.671875,240,104.5,240,0.999266,240,0.094846,240
0,25,240,False,native,240,0.9339,0.919746,0.943925,0.024179,0.928072,0.894677,0.952966,0.84966,0.965451,240,0.96582,0.958196,0.971154,0.012958,0.962516,0.944411,0.975916,0.91872,0.982422,0.002617,240,0.00264,240,0.701172,240,104.5,240,,0,0.095164,240
0,30,240,False,native,240,0.929695,0.9134,0.943429,0.030029,0.925897,0.901715,0.958857,0.827066,0.969522,240,0.963567,0.95474,0.970891,0.016151,0.961287,0.948317,0.978996,0.905349,0.984525,0.002579,240,0.002625,240,0.71875,240,103.0,240,0.999202,240,0.095386,240
0,35,240,False,native,240,0.929555,0.906549,0.943429,0.03688,0.921791,0.894569,0.951706,0.802085,0.964871,240,0.963492,0.950984,0.970891,0.019907,0.959004,0.944351,0.975255,0.890174,0.982121,0.002541,240,0.002548,240,0.71875,240,102.0,240,,0,0.095587,240
0,40,240,False,native,240,0.925787,0.907915,0.942578,0.034663,0.920382,0.893845,0.950905,0.77849,0.970688,240,0.961463,0.951735,0.97044,0.018705,0.958204,0.943945,0.974835,0.875451,0.985126,0.002464,240,0.002502,240,0.738281,240,101.5,240,0.999058,240,0.095786,240
0,45,240,False,native,240,0.929555,0.912232,0.943996,0.031765,0.922321,0.886996,0.952107,0.745378,0.974488,240,0.963492,0.954102,0.971191,0.01709,0.959187,0.940114,0.975466,0.854117,0.987079,0.002419,240,0.002602,240,0.732422,240,94.0,240,,0,0.095428,240
