head,n,insufficient_n,native_or_simulated,n_jaccard,jaccard_median,jaccard_q1,jaccard_q3,jaccard_iqr,jaccard_mean,jaccard_p10,jaccard_p90,jaccard_min,jaccard_max,n_recall,recall_median,recall_q1,recall_q3,recall_iqr,recall_mean,recall_p10,recall_p90,recall_min,recall_max,decision_margin_reference_median,n_decision_margin_reference,decision_margin_candidate_median,n_decision_margin_candidate,frac_query_blocks_changed_median,n_frac_query_blocks_changed,boundary_ties_median,n_boundary_ties,spearman_rho_median,n_spearman_rho,sat_frac_q_median,n_sat_frac_q
0,6000,False,native,6000,0.983647,0.979999,0.986696,0.006698,0.981731,0.972083,0.989202,0.942835,0.993477,6000,0.991756,0.989898,0.993304,0.003405,0.990763,0.985844,0.994572,0.970576,0.996728,0.00079,6000,0.000788,6000,0.816406,6000,98.0,6000,0.999784,3000,0.106243,6000
1,6000,False,native,6000,0.983348,0.978074,0.987197,0.009123,0.981785,0.972087,0.989503,0.942356,0.994486,6000,0.991604,0.988915,0.993557,0.004642,0.990794,0.985846,0.994724,0.970323,0.997235,0.000721,6000,0.00071,6000,0.828125,6000,116.0,6000,0.999777,3000,0.106243,6000
2,6000,False,native,6000,0.98245,0.976239,0.986346,0.010106,0.979451,0.9655,0.989152,0.927211,0.99383,6000,0.991148,0.987977,0.993126,0.005149,0.98959,0.982447,0.994546,0.962231,0.996905,0.000656,6000,0.000656,6000,0.832031,6000,121.0,6000,0.999745,3000,0.106243,6000
3,6000,False,native,6000,0.983148,0.976338,0.986846,0.010508,0.980672,0.969329,0.988801,0.931555,0.993729,6000,0.991503,0.988028,0.99338,0.005352,0.990224,0.984426,0.994369,0.964565,0.996855,0.000647,6000,0.000652,6000,0.826172,6000,115.0,6000,0.99975,3000,0.106243,6000
4,6000,False,native,6000,0.982799,0.979017,0.987047,0.00803,0.981368,0.969226,0.989855,0.923075,0.994486,6000,0.991325,0.989397,0.993481,0.004084,0.990579,0.984372,0.994902,0.959999,0.997235,0.000782,6000,0.000782,6000,0.824219,6000,97.0,6000,0.999766,3000,0.106243,6000
5,6000,False,native,6000,0.984496,0.978818,0.988149,0.009331,0.982556,0.972877,0.990156,0.902427,0.994889,6000,0.992188,0.989296,0.994039,0.004743,0.991185,0.986252,0.995054,0.948711,0.997438,0.000767,6000,0.000763,6000,0.789062,6000,116.0,6000,0.999786,3000,0.106243,6000
6,6000,False,native,6000,0.984296,0.979812,0.987397,0.007585,0.982381,0.972186,0.989704,0.943505,0.994435,6000,0.992086,0.989803,0.993659,0.003856,0.991097,0.985897,0.994825,0.970931,0.99721,0.000713,6000,0.000698,6000,0.796875,6000,114.0,6000,0.99979,3000,0.106243,6000
7,6000,False,native,6000,0.984246,0.977578,0.987898,0.010321,0.98214,0.972038,0.989503,0.93844,0.99383,6000,0.992061,0.988662,0.993912,0.005251,0.990976,0.985821,0.994724,0.968243,0.996905,0.000862,6000,0.000851,6000,0.804688,6000,99.0,6000,0.999785,3000,0.106243,6000
8,6000,False,native,6000,0.983548,0.978868,0.986596,0.007728,0.981175,0.970806,0.988801,0.894064,0.994839,6000,0.991706,0.989321,0.993253,0.003932,0.990475,0.985187,0.994369,0.94407,0.997413,0.0,6000,0.0,6000,0.816406,6000,128.0,6000,0.999768,3000,0.106243,6000
9,6000,False,native,6000,0.983997,0.977764,0.987447,0.009684,0.98101,0.966382,0.989303,0.933449,0.99383,6000,0.991934,0.988757,0.993684,0.004927,0.990392,0.982904,0.994623,0.965579,0.996905,0.00079,6000,0.00079,6000,0.804688,6000,106.0,6000,0.999784,3000,0.106243,6000
10,6000,False,native,6000,0.983348,0.977677,0.987497,0.009821,0.981439,0.970308,0.989905,0.939489,0.99378,6000,0.991604,0.988712,0.993709,0.004997,0.990614,0.98493,0.994927,0.968801,0.99688,0.000729,6000,0.000719,6000,0.8125,6000,118.0,6000,0.999781,3000,0.106243,6000
11,6000,False,native,6000,0.984196,0.977082,0.987898,0.010817,0.981116,0.968985,0.98996,0.8927,0.994536,6000,0.992035,0.988408,0.993912,0.005504,0.99044,0.984248,0.994955,0.943309,0.997261,0.000828,6000,0.000824,6000,0.796875,6000,103.0,6000,0.999775,3000,0.106243,6000
