arm,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics,region
R0,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,864,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9569276001470047,0.0,0,0,0.0015675919284743526,,0.07014293968677521,0.9977937042713165,0.07014293968677521,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64,affected
R1,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,864,0.9569276001470047,0.030597315033132677,0.9131112836918579,0.9779897836538461,0.9996383519784451,0.0044708251953125,0.78125,1.14453125,0.9569276001470047,,0.0,0,0,0.0015675919284743526,0.005430668129915087,0.07020052149891853,0.9978066682815552,0.07014293968677521,2.3171654902398586e-05,0.0005951393395662308,0.0013001514598727226,0.004008077938699892,0.03959810147618988,0.5428240740740741,0.003715215250849724,160.33448048914053,160.33448048914053,0.7118055555555556,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64,affected
R2,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,864,1.0,0.0,1.0,1.0,0.9999999993015054,0.0,0.0,0.0,1.0,0.9569276001470047,0.0,1,0,0.0015675919284743526,3.293397041918354e-07,0.07014293968677521,0.9977937042713165,0.07014293968677521,0.0,0.0,0.0,0.0,0.0,0.0023148148148148147,0.0,,,0.0,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,affected
R3,0.9,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,864,0.9569276001470047,0.030597315033132677,0.9131112836918579,0.9779897836538461,0.9996383532443509,0.0044708251953125,0.78125,1.14453125,0.9569276001470047,1.0,0.0,1,0,0.0015675919284743526,0.005430668129915087,0.07020052149891853,0.9978066682815552,0.07014293968677521,2.3171654902398586e-05,0.0005951393395662308,0.0013001514598727226,0.004008077938699892,0.03959810147618988,0.5428240740740741,0.004239508882164955,182.96098832915501,182.96098832915501,0.7118055555555556,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,affected
R4,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,864,0.9902818270165209,0.007911381471612189,0.9718998403528696,0.9951171875,0.9999893422104201,0.0009918212890625,0.25,0.25390625,0.9962510309664843,0.9553466509988249,97.0,235,0,0.0015675919284743526,0.0008437948511474658,0.07013443112373352,0.9977942109107971,0.07014293968677521,-2.3399479687213898e-08,0.00016636447980999947,0.0004735950380563736,0.0010773420626176223,0.005126253439387893,0.4930555555555556,0.0007080212235450745,-30257.990049751243,30257.990049751243,0.7083333333333334,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32,affected
R5,0.9,"repr=nvfp4, pool=bf16/native, score=bf16/native",bf16_acc_fp32,nvfp4,native,864,0.9550594800998679,0.029829437244054624,0.9104888932686931,0.9770132211538461,0.9996262103020468,0.004669189453125,0.794921875,1.1953125,0.956280541969649,0.9902818270165209,95.0,239,0,0.0015675919284743526,0.005894752836106173,0.06949786469340324,0.9978060126304626,0.07014293968677521,5.1009468734264374e-05,0.0006617880426347256,0.0015863507986068725,0.004683240577288849,0.04045158294516189,0.5763888888888888,0.00445019593462348,87.24254623797265,87.24254623797265,0.7129629629629629,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32,affected
R4L,0.9,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,864,0.9474800672957355,0.022432836880686424,0.8857059900083699,0.9730318509615384,0.9993719089399576,0.0054779052734375,0.8671875,1.40234375,0.9616858237547893,0.9300445855216584,97.0,231,0,0.0015675919284743526,0.007397391768176631,0.07009304687380791,0.997733473777771,0.07014293968677521,2.617761492729187e-05,0.0008214004337787628,0.0017403841018676757,0.005831107821323329,0.040359934524512066,0.5393518518518519,0.006246450822800398,238.6180268962573,238.6180268962573,0.7268518518518519,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16,affected
R5L,0.9,"repr=nvfp4, pool=bf16/low, score=bf16/low",bf16_acc_bf16,nvfp4,native,864,0.9245337574092815,0.03634012958229216,0.8565611295032705,0.9607872596153846,0.998732036101103,0.007965087890625,0.94140625,2.0390625,0.937770663798473,0.9392526768155001,97.0,233,0,0.0015675919284743526,0.01109585814702043,0.07045073062181473,0.9977784752845764,0.07014293968677521,8.944934234023094e-05,0.001038053072988987,0.0023663215339183807,0.007701941061501219,0.06851646223546162,0.5763888888888888,0.007769804447889328,86.86262240292362,86.86262240292362,0.7303240740740741,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16,affected
R6,0.9,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,bf16,native,864,0.9542701975162122,0.02330418076824259,0.8809300139019147,0.9766000600961539,0.9993967249298352,0.00475311279296875,0.82421875,1.216796875,0.9542701975162122,0.9347431145992297,0.0,0,0,0.0015675919284743526,0.006084538243000614,0.07053249329328537,0.9977866411209106,0.07014293968677521,8.347444236278534e-06,0.0004736012779176235,0.000965464860200882,0.00331833283578101,0.03109552745736538,0.5370370370370371,0.005154598504304886,617.506192123173,617.506192123173,0.7118055555555556,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native,affected
R7,0.9,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,nvfp4,native,864,0.9347431145992297,0.03390481178372573,0.8707272596842766,0.9662710336538461,0.9988864107152757,0.0068511962890625,0.91796875,1.75390625,0.9347431145992297,0.9540550458715596,0.0,1,0,0.0015675919284743526,0.009364934658961117,0.06977580115199089,0.9978136420249939,0.07014293968677521,5.219085142016411e-05,0.0008081467822194099,0.0017271872609853744,0.005526984687191011,0.052109096688256716,0.5717592592592593,0.007141810841858387,136.84028230087705,136.84028230087705,0.7013888888888888,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native,affected
