arm,timestep,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R0,0,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,720,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9686483288967761,0.0,0,0,0.0015495728401329453,,0.23552346974611282,0.9773285090923309,0.23552346974611282,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,1,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,720,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9710531213385687,0.0,0,0,0.0015789507689272912,,0.21593793481588364,0.9805949330329895,0.21593793481588364,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,10,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,720,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9755138383913334,0.0,0,0,0.0017019417356714027,,0.15519648790359497,0.9898657500743866,0.15519648790359497,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,25,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,720,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9769807678027772,0.0,0,0,0.0017476853371679994,,0.13068559765815735,0.9932987689971924,0.13068559765815735,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,40,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,720,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9766138339720736,0.0,0,0,0.0017514000664919124,,0.10136650502681732,0.995354562997818,0.10136650502681732,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,48,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,720,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9755871358771746,0.0,0,0,0.0017532013033044087,,0.08737214282155037,0.996860682964325,0.08737214282155037,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,0,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,720,0.9686483288967761,0.01575059995945627,0.9357066819943736,0.9840745192307693,0.999722517957849,0.00323486328125,0.65234375,0.828125,0.9686483288967761,,0.0,0,0,0.0015495728401329453,0.0034901584763367766,0.2354826107621193,0.9773020148277283,0.23552346974611282,1.0728836059570312e-06,0.0005020527169108391,0.0008296489715576172,0.001116845340835268,0.0064821212505549505,0.5013888888888889,-0.0005454197525978088,-508.36805555555554,508.36805555555554,0.38472222222222224,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,1,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,720,0.9710531213385687,0.01675909284622612,0.9348837209302326,0.9853140024038461,0.999736715733621,0.00298309326171875,0.625,0.763671875,0.9710531213385687,,0.0,0,0,0.0015789507689272912,0.003294153522333981,0.21577351540327072,0.9806611835956573,0.21593793481588364,2.7807429432868958e-05,0.0004384145140647888,0.0006743073463439941,0.0010892178802763956,0.007810248560431584,0.5444444444444444,-0.00020714104175567627,-7.449125862415433,7.449125862415433,0.4597222222222222,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,10,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,720,0.9755138383913334,0.01805659104885393,0.9360022692388824,0.9876051682692307,0.9997562693913276,0.0025177001953125,0.560546875,0.64453125,0.9755138383913334,,0.0,0,0,0.0017019417356714027,0.0028482398172248826,0.15504544973373413,0.989864706993103,0.15519648790359497,1.442059874534607e-05,0.0003654118627309799,0.0006391510367393493,0.0012543095093202712,0.008069325590070047,0.5319444444444444,0.0006479918956756592,44.93515887367605,44.93515887367605,0.6388888888888888,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,25,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,720,0.9769807678027772,0.018571090947128166,0.9408006244852409,0.9883563701923077,0.9997262084540444,0.0023651123046875,0.53515625,0.60546875,0.9769807678027772,,0.0,0,0,0.0017476853371679994,0.0028155925739780964,0.13085483759641647,0.9932686388492584,0.13068559765815735,3.2864976674318314e-05,0.00035717524588108063,0.0007093444466590882,0.0016735180335147033,0.009843819243425287,0.5541666666666667,0.0013827122747898102,42.072516542216306,42.072516542216306,0.7305555555555555,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
