arm,cfg_branch,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R0,negative,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,2160,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.973463790675265,0.0,0,0,0.0016725326681539822,,0.15569961071014404,0.9898871183395386,0.15569961071014404,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,positive,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,2160,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9738295612250112,0.0,0,0,0.001686989752007428,,0.14735052734613419,0.9910392761230469,0.14735052734613419,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,negative,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,2160,0.973463790675265,0.019007948611404313,0.9341808935706503,0.9865534855769231,0.9997305223566662,0.0027313232421875,0.5859375,0.69921875,0.973463790675265,,0.0,0,0,0.0016725326681539822,0.0031563367415644735,0.15567618608474731,0.9898772239685059,0.15569961071014404,2.510473132133484e-05,0.0004349537193775177,0.0007825864478945733,0.0015066521543033238,0.011727783791495427,0.5416666666666666,0.0008356645703315735,33.287134589701736,33.287134589701736,0.6578703703703703,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,positive,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,2160,0.9738295612250112,0.01814573649131046,0.9351649949120512,0.9867412860576923,0.9997294458018708,0.00269317626953125,0.58203125,0.689453125,0.9738295612250112,,0.0,0,0,0.001686989752007428,0.0030663518855063134,0.14741984754800797,0.9910095632076263,0.14735052734613419,2.848636358976364e-05,0.00038972171023488045,0.0007096707820892334,0.0014415289581447485,0.010395356523346116,0.5527777777777778,0.0007949769496917725,27.90728087095825,27.90728087095825,0.6453703703703704,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R2,negative,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,2160,1.0,0.0,1.0,1.0,0.9999999992141936,0.0,0.0,0.0,1.0,0.973463790675265,0.0,1,0,0.0016725326681539822,9.990780483626445e-08,0.15569961071014404,0.9898871183395386,0.15569961071014404,0.0,0.0,0.0,0.0,0.0,0.0032407407407407406,0.0,,,0.0023148148148148147,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R2,positive,0.9,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,2160,1.0,0.0,1.0,1.0,0.9999999992141936,0.0,0.0,0.0,1.0,0.9738295612250112,0.0,1,0,0.001686989752007428,6.835215155336105e-08,0.14735475927591324,0.9910392761230469,0.14735052734613419,0.0,0.0,0.0,0.0,0.0,0.002777777777777778,0.0,,,0.0032407407407407406,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,negative,0.9,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,2160,0.973463790675265,0.019007948611404313,0.9341808935706503,0.9865534855769231,0.999730524757722,0.0027313232421875,0.5859375,0.69921875,0.973463790675265,1.0,0.0,1,0,0.0016725326681539822,0.0031563367415644735,0.15567618608474731,0.9898772239685059,0.15569961071014404,2.510473132133484e-05,0.0004349537193775177,0.0007825864478945733,0.0015066521543033238,0.011727783791495427,0.5416666666666666,0.0008193161338567734,32.63592521145571,32.63592521145571,0.6509259259259259,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,positive,0.9,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,2160,0.9738295612250112,0.01814573649131046,0.9351649949120512,0.9867412860576923,0.9997294464566746,0.00269317626953125,0.58203125,0.689453125,0.9738295612250112,1.0,0.0,1,0,0.001686989752007428,0.0030663518855063134,0.14741984754800797,0.9910095632076263,0.14735052734613419,2.848636358976364e-05,0.00038972171023488045,0.0007092788815498352,0.0014415289581447485,0.010395356523346116,0.5527777777777778,0.0007938072085380554,27.866217674175303,27.866217674175303,0.65,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R4,negative,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,2160,0.9904306220095693,0.008473749589411494,0.968342687666472,0.9951923076923077,0.9999887960575835,0.0009765625,0.2421875,0.25,0.9967001649917504,0.9711990550095227,95.0,247,0,0.0016725326681539822,0.000951722224170565,0.15582992136478424,0.9898999333381653,0.15569961071014404,-2.000480890274048e-06,0.0002006087452173233,0.0003496840596199036,0.000730012666457946,0.0033855586560258243,0.4824074074074074,0.00032876431941986084,-164.34264432029795,164.34264432029795,0.6796296296296296,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4,positive,0.9,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,2160,0.9904306220095693,0.008473749589411494,0.9692307692307691,0.9951923076923077,0.9999886650826141,0.0009765625,0.2421875,0.25,0.9968499212480312,0.9718560213301733,95.0,245,0,0.001686989752007428,0.0009450168680624493,0.14745702594518661,0.9910440444946289,0.14735052734613419,-7.22147524356842e-06,0.00018277950584888458,0.00027921050786972046,0.0007311768513603497,0.0030886740426922248,0.44675925925925924,0.000313533004373312,-43.41675264379675,43.41675264379675,0.687037037037037,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
