arm,layer,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R0,0,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9488343180223907,0.0,0,0,0.0015845494933197323,,0.10181652009487152,0.9950689673423767,0.10181652009487152,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,1,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9595201295355855,0.0,0,0,0.0014621617224944705,,0.08528706803917885,0.9971911609172821,0.08528706803917885,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,10,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9797003410641714,0.0,0,0,0.0017174002653127815,,0.22519441694021225,0.9790764451026917,0.22519441694021225,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,11,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9791116920111225,0.0,0,0,0.0018420240063344194,,0.16614870727062225,0.9881086051464081,0.16614870727062225,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,12,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9750009299823446,0.0,0,0,0.0017939289491288321,,0.1339883729815483,0.9921842813491821,0.1339883729815483,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,13,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9790381327584925,0.0,0,0,0.0017646420694665639,,0.17700379341840744,0.9863202273845673,0.17700379341840744,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,14,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9766872076620388,0.0,0,0,0.001631054214635811,,0.20659282058477402,0.9839386641979218,0.20659282058477402,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,15,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9739027392011493,0.0,0,0,0.0016562620474651403,,0.23342520743608475,0.9777235686779022,0.23342520743608475,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,16,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9737563940988954,0.0,0,0,0.0016627490551838423,,0.16769471764564514,0.987874835729599,0.16769471764564514,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,17,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,144,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9769807678027772,0.0,0,0,0.0018375250511544735,,0.09434860572218895,0.9964774250984192,0.09434860572218895,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
