arm,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R0,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,43200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9812157186866031,0.0,0,0,0.0010958787764854805,,0.10623783245682716,0.9952953457832336,0.10623783245682716,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,0.8,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,43200,0.9812157186866031,0.011296686578747606,0.9576805998960577,0.9905188106796117,0.9997626763330049,0.003814697265625,0.72265625,0.9765625,0.9812157186866031,,0.0,1,0,0.0010958787764854805,0.003160628500197926,0.10626858845353127,0.99528369307518,0.10623783245682716,3.436533734202385e-05,0.0002665966749191284,0.0005477368831634521,0.0014478761932896,0.010846556724838382,0.5971527777777778,0.0010143071413040161,29.515413487987644,29.515413487987644,0.6625,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R2,0.8,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,43200,1.0,0.0,1.0,1.0,0.9999999992141936,0.0,0.0,0.0,1.0,0.9812157186866031,0.0,1,0,0.0010958787764854805,5.869569880301281e-08,0.10623783245682716,0.9952953457832336,0.10623783245682716,0.0,0.0,0.0,0.0,0.0,0.0038657407407407408,0.0,,,0.005277777777777778,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R3,0.8,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,43200,0.9812157186866031,0.011296686578747606,0.9576805998960577,0.9905188106796117,0.9997626768132071,0.003814697265625,0.72265625,0.9765625,0.9812157186866031,1.0,0.0,1,0,0.0010958787764854805,0.003160628500197926,0.10626858845353127,0.99528369307518,0.10623783245682716,3.436533734202385e-05,0.00026660598814487457,0.0005477368831634521,0.0014478761932896,0.010846556724838382,0.5971296296296297,0.0010206513106822968,29.700023035542486,29.700023035542486,0.6640972222222222,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled
R4,0.8,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,43200,0.994402843960366,0.004974332013998106,0.9815879457408032,0.9971935679611651,0.999989014250315,0.001129150390625,0.27734375,0.2890625,0.9975757575757576,0.9800998760935681,103.0,252,0,0.0010958787764854805,0.0007194958743900152,0.10614928603172302,0.9952928125858307,0.10623783245682716,-6.701797246932983e-06,0.00010446552187204361,0.00012633204460144043,0.0005419109724499076,0.0027781813845960106,0.42270833333333335,0.00029624253511428833,-44.20344635908838,44.20344635908838,0.6987731481481482,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R5,0.8,"repr=nvfp4, pool=bf16/native, score=bf16/native",bf16_acc_fp32,nvfp4,native,43200,0.9800998760935681,0.011876987351124413,0.9550678431081783,0.9899499393203883,0.9997608011018083,0.0040435791015625,0.74609375,1.03515625,0.9811412900559751,0.994402843960366,103.0,250,0,0.0010958787764854805,0.003418865270659527,0.10624691843986511,0.9952830374240875,0.10623783245682716,2.0559877157211304e-05,0.00029096100479364395,0.0005217775702476502,0.0015749953635643974,0.011032934359197246,0.558125,0.0010803323239088058,52.54566044573292,52.54566044573292,0.6766203703703704,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32
R4L,0.8,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,43200,0.9717340910790399,0.016998644226643878,0.9313678813404138,0.9856644417475728,0.9996687161567394,0.005767822265625,0.8671875,1.4765625,0.9860656046397771,0.966147192603087,103.0,249,0,0.0010958787764854805,0.005542890676436238,0.1061970628798008,0.9952986240386963,0.10623783245682716,-6.160815246403217e-06,0.0003121914342045784,0.0003730952739715576,0.0016533128955460337,0.01047508571482761,0.4835185185185185,0.0016255006194114685,-263.84505205872904,263.84505205872904,0.6768055555555555,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
R5L,0.8,"repr=nvfp4, pool=bf16/low, score=bf16/low",bf16_acc_bf16,nvfp4,native,43200,0.9655609392471114,0.0208967863397016,0.9196936412448456,0.9824787621359223,0.9994342091032266,0.007049560546875,0.91796875,1.8046875,0.9764635334682558,0.9707761874509511,103.0,249,0,0.0010958787764854805,0.006980667036230672,0.10628020763397217,0.9952857494354248,0.10623783245682716,2.3022526875138283e-05,0.000416523776948452,0.0006463326513767243,0.0022526047781686407,0.015811769321325185,0.5478703703703703,0.001960085704922676,85.13773121226525,85.13773121226525,0.6750231481481481,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16
R6,0.8,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,bf16,native,43200,0.9691572383406146,0.013220401715102414,0.9366163563585619,0.9843370752427184,0.9993301331179918,0.0063018798828125,0.8984375,1.61328125,0.9691572383406146,0.964096834264432,0.0,1,0,0.0010958787764854805,0.0061495231798450725,0.10620541498064995,0.9952978491783142,0.10623783245682716,1.710653305053711e-05,0.0002944972366094589,0.0004617543891072273,0.0015999463497790706,0.01002368120154652,0.5471759259259259,0.0017608441412448883,102.93401567944251,102.93401567944251,0.664699074074074,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native
R7,0.8,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,nvfp4,native,43200,0.9640236862686679,0.017521266777687172,0.9267107522560375,0.9816823422330098,0.9991209464286523,0.0073699951171875,0.9296875,1.88671875,0.9640236862686679,0.9690837129415278,0.0,1,0,0.0010958787764854805,0.007361700774864371,0.10635232925415039,0.9952795505523682,0.10623783245682716,5.313009023666382e-05,0.000396334333345294,0.0007195580750703811,0.002185540032645204,0.015140244226453353,0.5979166666666667,0.0020215287804603577,38.04866077688963,38.04866077688963,0.6621296296296296,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native
