arm,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics,region
R0,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,8640,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9695985060690943,0.0,0,0,0.0010461079812482557,,0.04315231740474701,0.9991857409477234,0.04315231740474701,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64,affected
R1,0.8,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,8640,0.9695985060690943,0.018239456991643532,0.944542772861357,0.9845646237864077,0.9996412688918761,0.0062103271484375,0.8828125,1.58984375,0.9695985060690943,,0.0,0,0,0.0010461079812482557,0.005526564299063744,0.042963383719325066,0.9991864860057831,0.04315231740474701,3.639794886112213e-05,0.00031174742616713047,0.0006859083659946918,0.0037080660423127543,0.03790481024265062,0.6196759259259259,0.006317317485809326,173.56245842075637,173.56245842075637,0.7322916666666667,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64,affected
R2,0.8,"repr=bf16, pool=fp32/native, score=fp32/native",fp32,bf16,native,8640,1.0,0.0,1.0,1.0,0.9999999993015054,0.0,0.0,0.0,1.0,0.9695985060690943,0.0,1,0,0.0010461079812482557,5.637901285253176e-08,0.04315231740474701,0.9991857409477234,0.04315231740474701,0.0,0.0,0.0,0.0,0.0,0.0042824074074074075,0.0,,,0.007291666666666667,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,affected
R3,0.8,"repr=nvfp4, pool=fp32/native, score=fp32/native",fp32,nvfp4,native,8640,0.9695985060690943,0.018239456991643532,0.944542772861357,0.9845646237864077,0.9996412686298147,0.0062103271484375,0.8828125,1.58984375,0.9695985060690943,1.0,0.0,1,0,0.0010461079812482557,0.005526564299063744,0.042963383719325066,0.9991864860057831,0.04315231740474701,3.639794886112213e-05,0.00031174742616713047,0.0006859083659946918,0.003711698519549197,0.03790481024265062,0.6196759259259259,0.006177276372909546,169.71495829282023,169.71495829282023,0.7305555555555555,pool=fp32_values_torch_sum_acc_fp32,score=fp32_values_torch_matmul_acc_fp32_tf32_disabled,affected
R4,0.8,"repr=bf16, pool=bf16/native, score=bf16/native",bf16_acc_fp32,bf16,native,8640,0.9946291463368508,0.004371381129602114,0.9820348028714248,0.9973073422330098,0.9999894481186967,0.0010833740234375,0.26953125,0.27734375,0.9972731404332676,0.9685691888461682,98.0,241,0,0.0010461079812482557,0.0006698537678781538,0.04307393357157707,0.9991850852966309,0.04315231740474701,7.05476850271225e-08,5.832035094499588e-05,0.0001817256212234497,0.0005995556717555894,0.003634966563948432,0.5144675925925926,0.0008694011485204101,12323.595709570956,12323.595709570956,0.734375,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32,affected
R5,0.8,"repr=nvfp4, pool=bf16/native, score=bf16/native",bf16_acc_fp32,nvfp4,native,8640,0.9686426758249963,0.01822175996717923,0.9431813994620288,0.9840716019417476,0.9996338833878973,0.00640869140625,0.890625,1.640625,0.9694513948537924,0.994553706505295,99.0,243,0,0.0010461079812482557,0.005728299280800105,0.04291083663702011,0.9991865158081055,0.04315231740474701,3.947317600250244e-05,0.0003348705358803272,0.0007256207056343556,0.0038243142546590036,0.04046884415325303,0.61875,0.006391681730747223,161.9246885617214,161.9246885617214,0.7302083333333333,pool=bf16_values_torch_sum_acc_fp32,score=bf16_values_torch_matmul_acc_fp32,affected
R4L,0.8,"repr=bf16, pool=bf16/low, score=bf16/low",bf16_acc_bf16,bf16,native,8640,0.9638042749683473,0.016442662003123276,0.926140742879268,0.9815685679611651,0.9993640008307714,0.007415771484375,0.921875,1.8984375,0.9719552780166772,0.9528235511942232,99.0,240,0,0.0010461079812482557,0.006886924805555826,0.043356504291296005,0.9991790652275085,0.04315231740474701,2.4702399969100952e-05,0.0003370436606928706,0.0007185753434896469,0.0037650343633264,0.03129319750763061,0.58125,0.007594199851155281,307.4276127280953,307.4276127280953,0.7216435185185185,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16,affected
R5L,0.8,"repr=nvfp4, pool=bf16/low, score=bf16/low",bf16_acc_bf16,nvfp4,native,8640,0.9503319224849663,0.024222837579346068,0.9049235933061942,0.9745335254854368,0.9989124104343174,0.01024627685546875,0.97265625,2.623046875,0.9566636984268329,0.9608105595835658,100.0,247,0,0.0010461079812482557,0.009938680900813096,0.04331292398273945,0.9991755187511444,0.04315231740474701,5.83636574447155e-05,0.00047546043060719967,0.0010061515495181084,0.006097680640450685,0.05060064843185201,0.6219907407407408,0.010087765287607908,172.84326804164837,172.84326804164837,0.7297453703703703,pool=bf16_values_sequential_acc_bf16,score=bf16_values_sequential_rank1_acc_bf16,affected
R6,0.8,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,bf16,native,8640,0.9657074698076636,0.016616835127098106,0.9286132241076652,0.9825546116504854,0.9993888856376083,0.00701904296875,0.92578125,1.796875,0.9657074698076636,0.9539088551315302,0.0,1,0,0.0010461079812482557,0.006495047833410886,0.043219467625021935,0.9991846680641174,0.04315231740474701,2.010422758758068e-05,0.00025562290102243423,0.0005679488182067871,0.002817401378817337,0.023741554398833072,0.5876157407407407,0.007485843729227781,372.35172038403186,372.35172038403186,0.7129629629629629,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native,affected
R7,0.8,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",fp8,nvfp4,native,8640,0.9535469531394702,0.02213828853723332,0.9145328938070714,0.976221177184466,0.9989813456477905,0.0095672607421875,0.96875,2.44921875,0.9535469531394702,0.9657074698076636,0.0,1,0,0.0010461079812482557,0.009377102014985601,0.043217238038778305,0.9991787672042847,0.04315231740474701,6.228755228221416e-05,0.0004201647825539112,0.0008699476718902587,0.005100702920079156,0.04333917352739762,0.6326388888888889,0.009524923749268055,152.91857522530773,152.91857522530773,0.7170138888888888,pool=fp32_values_torch_sum_acc_fp32+pooled_rounded_to_fp8_e4m3_per_head_amax,score=fp8_e4m3_torch_scaled_mm_acc_fp32_native,affected
