arm,timestep,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R0,0,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.977464050041714,0.0,0,0,0.0010528954075032762,,0.165190190076828,0.9880440533161163,0.165190190076828,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,0,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9687939066775124,0.0,0,0,0.001541732870714268,,0.2432190403342247,0.9757794141769409,0.2432190403342247,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,0,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9579349904397706,0.0,0,0,0.0023599997629232742,,0.33297792077064514,0.9555562436580658,0.33297792077064514,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,1,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9792823900315268,0.0,0,0,0.0010765867599098426,,0.15605959296226501,0.989715039730072,0.15605959296226501,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,1,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9714179933358016,0.0,0,0,0.0015726792387741884,,0.23927844315767288,0.9764266014099121,0.23927844315767288,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,1,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9613967879770149,0.0,0,0,0.002382271914581892,,0.34132105112075806,0.9537017047405243,0.34132105112075806,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,10,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9827800127833967,0.0,0,0,0.0011159697270501589,,0.11415119469165802,0.9947056174278259,0.11415119469165802,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,10,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9763937346893327,0.0,0,0,0.0016857119040841078,,0.19070332497358322,0.9850448071956635,0.19070332497358322,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,10,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9654510556621881,0.0,0,0,0.002363423657726173,,0.2945808917284012,0.9650269448757172,0.2945808917284012,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,25,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,7200,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9829291220154164,0.0,0,0,0.0011188803158806787,,0.09229132533073425,0.9964489042758942,0.09229132533073425,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
