arm,cfg_branch,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R0,negative,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,21600,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9809924495698884,0.0,0,0,0.0010884809151636746,,0.10638872161507607,0.9952753186225891,0.10638872161507607,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,negative,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,21600,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9749276759884281,0.0,0,0,0.001667795173045388,,0.1793055236339569,0.9866471886634827,0.1793055236339569,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,negative,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,21600,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9645808736717828,0.0,0,0,0.0024341969873444883,,0.2781998813152313,0.967940628528595,0.2781998813152313,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,positive,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,21600,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9814390381363892,0.0,0,0,0.001102686771916826,,0.10559626668691635,0.9953496754169464,0.10559626668691635,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,positive,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,21600,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.975220713702797,0.0,0,0,0.0016785790207867772,,0.17773617058992386,0.9869287014007568,0.17773617058992386,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,positive,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,21600,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9645808736717828,0.0,0,0,0.002412888544206732,,0.27634379267692566,0.9685733616352081,0.27634379267692566,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,negative,0.8,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,21600,0.9809924495698884,0.011516624644313245,0.9570993839530914,0.990405036407767,0.9997582016020023,0.0038604736328125,0.73046875,0.98828125,0.9809924495698884,,0.0,0,0,0.0010884809151636746,0.003184357917185298,0.10665179044008255,0.9952565133571625,0.10638872161507607,3.5762786865234375e-05,0.00027154176495969296,0.000563792884349823,0.0014668512357190158,0.01096806011362279,0.6010185185185185,0.0010121669620275497,28.302239583333332,28.302239583333332,0.6606481481481481,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,negative,0.9,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,21600,0.9749276759884281,0.016228935501647612,0.9409491871400452,0.9873046875,0.9997582016020023,0.0025787353515625,0.5625,0.66015625,0.9749276759884281,,0.0,0,0,0.001667795173045388,0.0029375228053731685,0.17941592633724213,0.9866536855697632,0.1793055236339569,3.941170871257782e-05,0.00046876445412635803,0.0008706307038664818,0.0013808833842218764,0.010252707363676169,0.5607407407407408,0.0008620768785476685,21.87362351717945,21.87362351717945,0.6481481481481481,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,negative,0.95,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,21600,0.9645808736717828,0.020259902210923997,0.9264833574529667,0.9819711538461539,0.9997582016020023,0.0018310546875,0.4296875,0.46875,0.9645808736717828,,0.0,0,0,0.0024341969873444883,0.002690773614939677,0.27854983508586884,0.9680267870426178,0.2781998813152313,8.617714047431946e-05,0.0007844837382435799,0.0014401406049728393,0.001454676446213539,0.01112246923473279,0.5733796296296296,0.0011480003595352173,13.321402325681927,13.321402325681927,0.6506018518518518,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R1,positive,0.8,"repr=nvfp4, pool=fp64/native, score=fp64/native",fp64,nvfp4,native,21600,0.9814390381363892,0.011150555046844035,0.9583348806119796,0.9906325849514563,0.9997666308601574,0.0037689208984375,0.71875,0.96484375,0.9814390381363892,,0.0,1,0,0.001102686771916826,0.0031381904780714365,0.10567683354020119,0.9953427314758301,0.10559626668691635,3.306567668914795e-05,0.00026005227118730545,0.0005304690450429917,0.00143175989813971,0.010745350755786686,0.593287037037037,0.0010158829391002655,30.723186119873816,30.723186119873816,0.6643518518518519,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
