arm,layer,sparsity,arm_label,ladder_position,representation,native_or_simulated,n_cells,jaccard_median,jaccard_iqr,jaccard_p05,recall_median,spearman_rho_median,frac_decisions_changed_median,frac_query_blocks_changed_median,swaps_per_query_block_median,jaccard_pooling_only_median,jaccard_vs_study1_arm_median,deployed_score_ties_median,deployed_score_ties_max,exact_ties_fp64_total,reference_margin_norm_fp64_median,changed_pair_gap_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,wrong_mask_excess_p90,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_reference,random_matched_excess_median,isolation_ratio_median_of_medians,isolation_ratio_abs,frac_cells_random_worse_than_arm,pool_semantics,score_semantics
R0,0,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9650482542758132,0.0,0,0,0.0011201339456768822,,0.07027759402990341,0.9979122579097748,0.07027759402990341,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,0,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9551312675523207,0.0,0,0,0.0015783810294463913,,0.11654090136289597,0.9943367838859558,0.11654090136289597,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,0,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9398178609351282,0.0,0,0,0.0021686827562488404,,0.18720756471157074,0.9844485521316528,0.18720756471157074,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,1,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9717340910790399,0.0,0,0,0.000985681501717126,,0.04689733125269413,0.9990608990192413,0.04689733125269413,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,1,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9629875396298754,0.0,0,0,0.0015111026599233315,,0.09681206569075584,0.9961541295051575,0.09681206569075584,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,1,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9556339062729543,0.0,0,0,0.0023914707145881136,,0.1912045031785965,0.9846450388431549,0.1912045031785965,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,10,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9847201836588763,0.0,0,0,0.0011285735961880602,,0.1598263755440712,0.9892865121364594,0.1598263755440712,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,10,0.9,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.978743961352657,0.0,0,0,0.0016064343841063903,,0.25124941766262054,0.9743147790431976,0.25124941766262054,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,10,0.95,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9671937342988031,0.0,0,0,0.002247923241021383,,0.35242003202438354,0.9488040506839752,0.35242003202438354,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
R0,11,0.8,"repr=bf16, pool=fp64/native, score=fp64/native",fp64,bf16,native,1440,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.9842721149866426,0.0,0,0,0.001144430329551185,,0.12106186151504517,0.993710070848465,0.12106186151504517,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pool=fp64_values_torch_sum_acc_fp64,score=fp64_values_torch_matmul_acc_fp64
