arm,sparsity,intervention_kind,purpose,representation,pool,score,selection_rule,n_cells,jaccard_median,jaccard_iqr,recall_median,spearman_rho_vs_exact_median,swaps_per_query_block_median,frac_query_blocks_changed_median,frac_decisions_changed_median,frac_cells_mask_identical_to_deployed,changed_pair_gap_fp64_median,reference_margin_norm_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,signed_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_deployed,random_matched_excess_median,isolation_ratio_abs,frac_cells_random_worse_than_arm,representation_saturation_frac_median,deployed_score_ties_median,exact_ties_fp64_total,selector_budget_violating_rows_total,selector_budget_violating_frac_max,pool_semantics,score_semantics,select_semantics
VA_FP8,0.8,intervention_a,"routing input quantized to FP8-E4M3, kernel arithmetic unchanged",fp8_e4m3,kernel,kernel,kernel,43200,0.9911165568999847,0.0039110253480716395,0.9955384615384615,0.9999580367564629,0.5576923076923077,0.49198717948717946,0.0017874753451676529,0.0,0.0012836640446742525,0.0008405106758979779,0.19386303424835205,0.9830909967422485,0.19386567920446396,-5.587935447692871e-07,0.00014576688408851624,-2.8378178797200054e-06,0.00038738823569480017,0.0013481458977753443,0.4980787037037037,-0.0005426108837127686,971.04,0.3867361111111111,1.401982785864675e-06,321.0,0,348,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VA_NVFP4,0.8,intervention_a,"routing input quantized to NVFP4, kernel arithmetic unchanged",nvfp4,kernel,kernel,kernel,43200,0.9770359668466276,0.008310484555260067,0.9883846153846154,0.9996695662304294,1.4519230769230769,0.8669871794871795,0.004653599605522683,0.0,0.003907909624343222,0.0008405106758979779,0.1938113570213318,0.9830975830554962,0.19386567920446396,-3.174692392349243e-05,0.00041124410927295685,-0.00016052430709246777,0.0010671541936372968,0.004924327573350034,0.45439814814814816,-0.0013690516352653503,43.12391457404365,0.3992361111111111,0.0880279578268528,321.0,0,252,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VA_NVFP4_VB_FP64,0.8,intervention_ab,the H3 question at VSA's interface: can exact arithmetic rescue a quantized routing input?,nvfp4,fp64,fp64,exact_index_order,43200,0.9770860792862213,0.008385898644476253,0.9884102564102564,0.9996731379467548,1.4487179487179487,0.8669871794871795,0.004643326758711374,0.0,0.0035033913191157584,0.0008405106758979779,0.19398817420005798,0.983083188533783,0.19386567920446396,0.00015139952301979065,0.0005312003195285797,0.0007878727134377277,0.0014331260324218337,0.005590117060749274,0.6794675925925926,-0.0013690590858459473,9.042690878669324,0.3897453703703704,0.0880279578268528,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
VB_BF16_LOW,0.8,intervention_b,selector arithmetic lowered to true bf16 accumulation,bf16,bf16_low,bf16_low,kernel,43200,0.9771863117870723,0.01471855968192426,0.9884615384615385,0.9998349180054558,1.4423076923076923,0.8653846153846154,0.004622781065088758,0.0,0.004024469376988632,0.0008405106758979779,0.1938285082578659,0.9831109941005707,0.19386567920446396,-4.3448060750961304e-05,0.0002676602452993393,-0.00023092927142427325,0.0007008714961870019,0.002690119190173156,0.4,-0.0011246837675571442,25.885706936465745,0.4127546296296296,0.0,321.0,0,2796,0.0006677350427350427,pool=bf16_values_sequential_acc_bf16_valid_token_denominator,score=bf16_values_sequential_rank1_acc_bf16,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
VB_FP32,0.8,intervention_b,selector arithmetic raised to fp32,bf16,fp32,fp32,exact_index_order,43200,0.9935847465208112,0.00557422780645922,0.9967820512820513,0.9999999994261715,0.4022435897435897,0.3717948717948718,0.001289242274819198,0.0,0.0008494360420063804,0.0008405106758979779,0.19404298067092896,0.9830718040466309,0.19386567920446396,0.0001607835292816162,0.0003011971712112427,0.0009051424134813031,0.0009420072422315357,0.0028899351031048447,0.8870370370370371,-0.0003277137875556946,2.03822984244671,0.35412037037037036,0.0,0.0,0,0,0.0,pool=fp32_values_acc_fp32_valid_token_denominator,score=fp32_values_acc_fp32_tf32_disabled,select=exact_stable_sort_index_order_ties_at_float32
VC_GATE_NVFP4,0.8,non_routing_control,gate_compress quantized to NVFP4; must NOT change the mask (falsifies the gate map if it does),bf16,kernel,kernel,kernel,43200,1.0,0.0,1.0,0.9999895437920592,0.0,0.0,0.0,1.0,,0.0008405106758979779,0.19386567920446396,0.9831015467643738,0.19386567920446396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,321.0,0,336,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,43200,1.0,0.0,1.0,0.9999895437920592,0.0,0.0,0.0,1.0,,0.0008405106758979779,0.19386567920446396,0.9831015467643738,0.19386567920446396,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,321.0,0,336,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0_FP64,0.8,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,43200,0.9935847465208112,0.00557422780645922,0.9967820512820513,0.9999999999999996,0.4022435897435897,0.3717948717948718,0.001289242274819198,0.0,0.0008494360420063804,0.0008405106758979779,0.19404298067092896,0.9830718040466309,0.19386567920446396,0.0001608133316040039,0.00030114129185676575,0.0009050941070277421,0.0009420072422315357,0.0028899351031048447,0.8870370370370371,-0.0003282800316810608,2.0413732394366195,0.3542824074074074,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
VD_TORCH_TOPK,0.8,tiebreak_control,torch.topk tie-break instead of VSA's index-order threshold rule,bf16,kernel,kernel,torch_topk,43200,1.0,0.0,1.0,0.9999895437920592,0.0,0.0,0.0,0.9993518518518518,,0.0008405106758979779,0.19386567920446396,0.9831015467643738,0.19386567920446396,0.0,0.0,0.0,0.0,0.0,0.0004398148148148148,0.0,,0.00020833333333333335,0.0,321.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=torch_topk_native_tiebreak
VA_FP8,0.9,intervention_a,"routing input quantized to FP8-E4M3, kernel arithmetic unchanged",fp8_e4m3,kernel,kernel,kernel,43200,0.9868593955321945,0.0063208824836595845,0.9933862433862434,0.9999580367564629,0.41666666666666663,0.38461538461538464,0.0013354700854700855,0.0,0.0015460739460099679,0.00128844940920768,0.27839891612529755,0.9671642184257507,0.2784554660320282,-4.552304744720459e-06,0.00024525076150894165,-1.7226087480789303e-05,0.0004530297194798052,0.0016646052414104923,0.48891203703703706,-0.0014122575521469116,310.2291325695581,0.32944444444444443,1.401982785864675e-06,296.0,0,132,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
