arm,sparsity,intervention_kind,purpose,representation,pool,score,selection_rule,n_cells,jaccard_median,jaccard_iqr,recall_median,spearman_rho_vs_exact_median,swaps_per_query_block_median,frac_query_blocks_changed_median,frac_decisions_changed_median,frac_cells_mask_identical_to_deployed,changed_pair_gap_fp64_median,reference_margin_norm_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,signed_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_deployed,random_matched_excess_median,isolation_ratio_abs,frac_cells_random_worse_than_arm,representation_saturation_frac_median,deployed_score_ties_median,exact_ties_fp64_total,selector_budget_violating_rows_total,selector_budget_violating_frac_max,pool_semantics,score_semantics,select_semantics,region
V0,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,8640,1.0,0.0,1.0,0.9999901301040555,0.0,0.0,0.0,1.0,,0.0008339192358526367,0.12838498502969742,0.9920651614665985,0.12838498502969742,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,300.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties,affected
V0_FP64,0.8,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,8640,0.9941453936519705,0.0043037683294007145,0.9970641025641026,0.9999999999999996,0.36698717948717946,0.34294871794871795,0.001176240959894806,0.0,0.0007500577673909517,0.0008339192358526367,0.12854024022817612,0.9920396506786346,0.12838498502969742,0.00011423230171203613,0.0002178046852350235,0.000970363968375004,0.0010581234318619412,0.00353071078802836,0.8372685185185185,-0.00017418339848518372,1.52481737542395,0.43125,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64,affected
VA_FP8,0.8,intervention_a,"routing input quantized to FP8-E4M3, kernel arithmetic unchanged",fp8_e4m3,kernel,kernel,kernel,8640,0.9909894962541319,0.004087182811949308,0.995474358974359,0.9999553065486761,0.5657051282051282,0.4983974358974359,0.0018131574621959238,0.0,0.0012625262793144732,0.0008339192358526367,0.12835290282964706,0.9920650124549866,0.12838498502969742,-2.8312206268310547e-07,0.0001473408192396164,-1.9591130650619358e-06,0.0005706309413306008,0.0022128620638398617,0.49895833333333334,-0.00027076341211795807,956.3486842105264,0.45601851851851855,9.854635209194385e-06,301.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties,affected
VA_NVFP4,0.8,intervention_a,"routing input quantized to NVFP4, kernel arithmetic unchanged",nvfp4,kernel,kernel,kernel,8640,0.9720873786407767,0.012536428206994965,0.9858461538461538,0.9994697791356679,1.7692307692307692,0.9102564102564102,0.005670611439842209,0.0,0.004932893465368156,0.0008339192358526367,0.12861326336860657,0.9920634925365448,0.12838498502969742,-3.4347176551818848e-06,0.0005595088005065918,-1.979654100940798e-05,0.0021467959988061636,0.009909991515386822,0.49675925925925923,-0.0006666518747806549,194.09219088937093,0.4708333333333333,0.08339110389351845,299.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties,affected
VA_NVFP4_VB_FP64,0.8,intervention_ab,the H3 question at VSA's interface: can exact arithmetic rescue a quantized routing input?,nvfp4,fp64,fp64,exact_index_order,8640,0.9721372405248919,0.012661527461825473,0.9858717948717949,0.9994752592121215,1.766025641025641,0.9118589743589743,0.0056603385930309,0.0,0.004572721344369904,0.0008339192358526367,0.12870968878269196,0.9920459687709808,0.12838498502969742,0.00012390315532684326,0.0006380528211593628,0.0009572047042795192,0.0023859016398825013,0.010731080192525272,0.6357638888888889,-0.0006876327097415924,5.549759470835839,0.4667824074074074,0.08339110389351845,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64,affected
VB_BF16_LOW,0.8,intervention_b,selector arithmetic lowered to true bf16 accumulation,bf16,bf16_low,bf16_low,kernel,8640,0.9786157299950534,0.011911466137650706,0.9891923076923077,0.99983086555384,1.3509615384615383,0.8461538461538461,0.00433000493096647,0.0,0.003598140794488913,0.0008339192358526367,0.12838957458734512,0.9920686483383179,0.12838498502969742,-5.033239722251892e-05,0.0003008749336004257,-0.00039688509857265615,0.0012015667476027204,0.004677372309669613,0.3971064814814815,-0.0004877261817455292,9.690104359410851,0.47835648148148147,0.0,299.0,0,48,0.00013354700854700856,pool=bf16_values_sequential_acc_bf16_valid_token_denominator,score=bf16_values_sequential_rank1_acc_bf16,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties,affected
VB_FP32,0.8,intervention_b,selector arithmetic raised to fp32,bf16,fp32,fp32,exact_index_order,8640,0.9941453936519705,0.0043037683294007145,0.9970641025641026,0.9999999994261713,0.36698717948717946,0.34294871794871795,0.001176240959894806,0.0,0.0007500577673909517,0.0008339192358526367,0.12854024022817612,0.9920396506786346,0.12838498502969742,0.00011423230171203613,0.00021796207875013351,0.000970363968375004,0.0010583093394209717,0.00353071078802836,0.8372685185185185,-0.00017781183123588562,1.5565810070440909,0.42662037037037037,0.0,0.0,0,0,0.0,pool=fp32_values_acc_fp32_valid_token_denominator,score=fp32_values_acc_fp32_tf32_disabled,select=exact_stable_sort_index_order_ties_at_float32,affected
VC_GATE_NVFP4,0.8,non_routing_control,gate_compress quantized to NVFP4; must NOT change the mask (falsifies the gate map if it does),bf16,kernel,kernel,kernel,8640,1.0,0.0,1.0,0.9999901301040555,0.0,0.0,0.0,1.0,,0.0008339192358526367,0.12838498502969742,0.9920651614665985,0.12838498502969742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,300.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties,affected
VD_TORCH_TOPK,0.8,tiebreak_control,torch.topk tie-break instead of VSA's index-order threshold rule,bf16,kernel,kernel,torch_topk,8640,1.0,0.0,1.0,0.9999901301040555,0.0,0.0,0.0,1.0,,0.0008339192358526367,0.12838498502969742,0.9920651614665985,0.12838498502969742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,300.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=torch_topk_native_tiebreak,affected
V0,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,43200,1.0,0.0,1.0,0.9999895437920592,0.0,0.0,0.0,1.0,,0.0008405106758979779,0.19386567920446396,0.9831015467643738,0.19386567920446396,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,321.0,0,336,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties,all
