arm,cfg_branch,sparsity,intervention_kind,purpose,representation,pool,score,selection_rule,n_cells,jaccard_median,jaccard_iqr,recall_median,spearman_rho_vs_exact_median,swaps_per_query_block_median,frac_query_blocks_changed_median,frac_decisions_changed_median,frac_cells_mask_identical_to_deployed,changed_pair_gap_fp64_median,reference_margin_norm_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,signed_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_deployed,random_matched_excess_median,isolation_ratio_abs,frac_cells_random_worse_than_arm,representation_saturation_frac_median,deployed_score_ties_median,exact_ties_fp64_total,selector_budget_violating_rows_total,selector_budget_violating_frac_max,pool_semantics,score_semantics,select_semantics
V0,negative,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,21600,1.0,0.0,1.0,0.9999895175390139,0.0,0.0,0.0,1.0,,0.0008366163812478612,0.19181013852357864,0.9833711981773376,0.19181013852357864,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,322.0,0,156,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,negative,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,21600,1.0,0.0,1.0,0.9999895175390139,0.0,0.0,0.0,1.0,,0.0012840092540768885,0.2776983678340912,0.9672228991985321,0.2776983678340912,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,297.0,0,24,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,negative,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,21600,1.0,0.0,1.0,0.9999895175390139,0.0,0.0,0.0,1.0,,0.002087272753560246,0.35013139247894287,0.9513758718967438,0.35013139247894287,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,244.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,positive,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,21600,1.0,0.0,1.0,0.999989562121772,0.0,0.0,0.0,1.0,,0.0008442532453607535,0.19547734409570694,0.9827820360660553,0.19547734409570694,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,321.0,0,180,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,positive,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,21600,1.0,0.0,1.0,0.999989562121772,0.0,0.0,0.0,1.0,,0.0012945462276439243,0.2789868116378784,0.9670859575271606,0.2789868116378784,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,296.0,0,60,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,positive,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,21600,1.0,0.0,1.0,0.999989562121772,0.0,0.0,0.0,1.0,,0.0021043708223563292,0.34931039810180664,0.9514718353748322,0.34931039810180664,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,243.0,0,24,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0_FP64,negative,0.8,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,21600,0.9935592700506057,0.005599609475142486,0.9967692307692307,0.9999999999999996,0.40384615384615385,0.3717948717948718,0.0012943786982248522,0.0,0.0008485870405908016,0.0008366163812478612,0.19216221570968628,0.9832979440689087,0.19181013852357864,0.00016923993825912476,0.0003224555402994156,0.0009693605335968819,0.0010049552042229151,0.0030507550727492234,0.8941666666666667,-0.0003140456974506378,1.8556240369799692,0.35712962962962963,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,negative,0.9,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,21600,0.9890710382513661,0.007941034013593695,0.9945054945054945,0.9999999999999996,0.34615384615384615,0.32532051282051283,0.0011094674556213018,0.0,0.0010729577330321097,0.0012840092540768885,0.2784676104784012,0.9671083688735962,0.2776983678340912,0.00034417957067489624,0.0007261261343955994,0.001366434639547809,0.0013964988564103852,0.0045801259315695906,0.9048148148148148,-0.00104590505361557,3.038835371793484,0.30712962962962964,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,negative,0.95,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,21600,0.9839046199701937,0.011342026097603708,0.9918870192307693,0.9999999999999996,0.2596153846153846,0.25,0.0008321005917159764,0.0,0.001198561497225295,0.002087272753560246,0.3505331873893738,0.9511053264141083,0.35013139247894287,0.000512734055519104,0.000988740473985672,0.0015609879366588137,0.0016222845799401826,0.004956330605651332,0.8975925925925926,-0.0018329322338104248,3.574820541137493,0.2836111111111111,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
V0_FP64,positive,0.8,reference_exact,exact selector on the same bf16 Q/K: how far deployed VSA already is from optimal,bf16,fp64,fp64,exact_index_order,21600,0.9935847465208112,0.005504424817995512,0.9967820512820513,0.9999999999999996,0.4022435897435897,0.3701923076923077,0.001289242274819198,0.0,0.0008504082829617443,0.0008442532453607535,0.19569868594408035,0.9827443659305573,0.19547734409570694,0.00015241652727127075,0.0002804715186357498,0.0008499175765071196,0.0008905782206107335,0.0027330080258397855,0.8799074074074074,-0.00034343451261520386,2.25326294178032,0.3514351851851852,0.0,0.0,0,0,0.0,pool=fp64_values_acc_fp64_valid_token_denominator,score=fp64_values_acc_fp64,select=exact_stable_sort_index_order_ties_at_float64
