arm,layer,sparsity,intervention_kind,purpose,representation,pool,score,selection_rule,n_cells,jaccard_median,jaccard_iqr,recall_median,spearman_rho_vs_exact_median,swaps_per_query_block_median,frac_query_blocks_changed_median,frac_decisions_changed_median,frac_cells_mask_identical_to_deployed,changed_pair_gap_fp64_median,reference_margin_norm_fp64_median,rel_l2_median,cosine_median,sparsification_error_median,wrong_mask_excess_median,wrong_mask_excess_iqr,signed_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_median,abs_wrong_mask_over_sparsification_p90,frac_cells_arm_worse_than_deployed,random_matched_excess_median,isolation_ratio_abs,frac_cells_random_worse_than_arm,representation_saturation_frac_median,deployed_score_ties_median,exact_ties_fp64_total,selector_budget_violating_rows_total,selector_budget_violating_frac_max,pool_semantics,score_semantics,select_semantics
V0,0,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999886813935568,0.0,0.0,0.0,1.0,,0.0007885406664566403,0.15035758167505264,0.988714188337326,0.15035758167505264,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,315.5,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,0,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999886813935568,0.0,0.0,0.0,1.0,,0.0011049317279779862,0.20678527653217316,0.9787309169769287,0.20678527653217316,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,309.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,0,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999886813935568,0.0,0.0,0.0,1.0,,0.0018223123452057537,0.2505939304828644,0.9701735377311707,0.2505939304828644,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,273.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,1,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999914022757449,0.0,0.0,0.0,1.0,,0.0008526661787641125,0.12798136472702026,0.992088258266449,0.12798136472702026,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,275.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,1,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999914022757449,0.0,0.0,0.0,1.0,,0.0012335997979662455,0.18636058270931244,0.9833790063858032,0.18636058270931244,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,264.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,1,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999914022757449,0.0,0.0,0.0,1.0,,0.002029462419291611,0.22703497111797333,0.9766123294830322,0.22703497111797333,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,213.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,10,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.999990780296139,0.0,0.0,0.0,1.0,,0.0008479816390022745,0.22792909294366837,0.9767074882984161,0.22792909294366837,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,329.0,0,12,0.00013354700854700856,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,10,0.9,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.999990780296139,0.0,0.0,0.0,1.0,,0.0012983309924965536,0.3246503919363022,0.9570437073707581,0.3246503919363022,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,307.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,10,0.95,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.999990780296139,0.0,0.0,0.0,1.0,,0.0020777991703692985,0.4133630841970444,0.9309206604957581,0.4133630841970444,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,251.5,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
V0,11,0.8,reference_deployed,VSA as installed: fused_block_mean + bf16 matmul + fused_topk_mask,bf16,kernel,kernel,kernel,1440,1.0,0.0,1.0,0.9999843392290382,0.0,0.0,0.0,1.0,,0.0008693533206463705,0.21563855558633804,0.9788621664047241,0.21563855558633804,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,333.0,0,0,0.0,pool=kernel_fused_block_mean_bf16_read_fp32_acc_bf16_write,score=kernel_bf16_torch_matmul_acc_fp32_bf16_out,select=kernel_fused_topk_mask_fp32_bisect_index_order_ties
