seed,arm,arm_label,n_cells,jaccard_median,wrong_mask_excess_median,sparsification_error_median,abs_wrong_mask_over_sparsification_median,isolation_ratio_abs,frac_cells_arm_worse_than_reference
1234,R1,"repr=nvfp4, pool=fp64/native, score=fp64/native",43200,0.9750741839762611,4.0571438148617744e-05,0.17856170237064362,0.0013733804304749179,21.046363620712413,0.5635416666666667
1234,R3,"repr=nvfp4, pool=fp32/native, score=fp32/native",43200,0.9750741839762611,4.0571438148617744e-05,0.17856170237064362,0.0013736459779078738,20.878423900879756,0.5635185185185185
1234,R6,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",43200,0.9598086124401913,2.2327527403831482e-05,0.17856170237064362,0.001660208168857954,67.03745724534913,0.5315509259259259
1234,R7,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",43200,0.9529083840680701,6.789900362491608e-05,0.17856170237064362,0.0021439044099512412,24.976161084135736,0.5684027777777778
1234,R8,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",43200,0.8874237912944846,0.00031601637601852417,0.17856170237064362,0.006523469798784476,14.277572792644111,0.6071527777777778
1234,R9,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",43200,0.8848849557522124,0.0003794357180595398,0.17856170237064362,0.006999722357211184,12.17662536571956,0.6196527777777778
2026,R1,"repr=nvfp4, pool=fp64/native, score=fp64/native",43200,0.9761003488458398,4.0949322283267975e-05,0.1787608116865158,0.0014033220289260398,18.73620050490118,0.5609259259259259
2026,R3,"repr=nvfp4, pool=fp32/native, score=fp32/native",43200,0.9761003488458398,4.094839096069336e-05,0.1787608116865158,0.0014039684799390473,19.069687045123725,0.5609259259259259
2026,R6,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",43200,0.9608189718662542,2.006441354751587e-05,0.1787608116865158,0.0017797192897302107,66.89361307092462,0.5242824074074074
2026,R7,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",43200,0.9544853912788137,5.761580541729927e-05,0.1787608116865158,0.0022058585211321043,26.137639518625384,0.555
2026,R8,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",43200,0.8902378416755413,0.0003026425838470459,0.1787608116865158,0.006592173975306941,13.287887740029543,0.5976851851851852
2026,R9,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",43200,0.8878252854002694,0.000344887375831604,0.1787608116865158,0.006991231877107678,11.882047958522358,0.6059027777777778
3407,R1,"repr=nvfp4, pool=fp64/native, score=fp64/native",43200,0.9759536885854238,4.210323095321655e-05,0.1730930432677269,0.001375271363370068,17.97062466820032,0.5673611111111111
3407,R3,"repr=nvfp4, pool=fp32/native, score=fp32/native",43200,0.9759536885854238,4.201754927635193e-05,0.1730930432677269,0.001375271363370068,18.007270148062773,0.5673611111111111
3407,R6,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",43200,0.9608189718662542,1.1783093214035034e-05,0.1730930432677269,0.0017559234282032966,113.58457160923174,0.5169907407407407
3407,R7,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",43200,0.9541984732824428,5.783885717391968e-05,0.1730930432677269,0.0022290879673122314,26.084052557001158,0.5569907407407407
3407,R8,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",43200,0.8901036490132046,0.0002943985164165497,0.1730930432677269,0.006632354415147947,13.443297860224986,0.6017592592592592
3407,R9,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",43200,0.8876914350538854,0.000341266393661499,0.1730930432677269,0.0069591660130383926,11.616234390009605,0.6086574074074074
pooled,R1,"repr=nvfp4, pool=fp64/native, score=fp64/native",129600,0.9756604333630158,4.114210605621338e-05,0.17700089514255524,0.0013835512975224995,19.279789931184354,0.5639429012345679
pooled,R3,"repr=nvfp4, pool=fp32/native, score=fp32/native",129600,0.9756604333630158,4.112161695957184e-05,0.17700089514255524,0.0013837691885041077,19.35172351315849,0.5639351851851852
pooled,R6,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",129600,0.9605301914580265,1.7929822206497192e-05,0.17700089514255524,0.0017348124377467862,77.89372532723873,0.5242746913580247
pooled,R7,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",129600,0.9539116395126963,6.125867366790771e-05,0.17700089514255524,0.0021940190030584946,25.600218924835808,0.5601311728395062
pooled,R8,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",129600,0.8892988929889298,0.0003042127937078476,0.17700089514255524,0.006586739551194314,13.680449171274102,0.602199074074074
pooled,R9,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",129600,0.8867550138190065,0.0003551095724105835,0.17700089514255524,0.006985989758170846,11.917324073685535,0.6114043209876543
