configuration,arm,arm_label,n_cells,seq_len,resolution,geometry,n_k_blocks,retained_k,jaccard_median,recall_median,swaps_per_query_block_median,sparsification_error_median,wrong_mask_excess_median,abs_wrong_mask_over_sparsification_median,isolation_ratio_abs,frac_cells_arm_worse_than_reference
baseline 480x832,R1,"repr=nvfp4, pool=fp64/native, score=fp64/native",43200,32760,480x832,128x64-raster,512,52,0.9750741839762611,0.9873798076923077,0.65625,0.17856170237064362,4.0571438148617744e-05,0.0013733804304749179,21.046363620712413,0.5635416666666667
baseline 480x832,R3,"repr=nvfp4, pool=fp32/native, score=fp32/native",43200,32760,480x832,128x64-raster,512,52,0.9750741839762611,0.9873798076923077,0.65625,0.17856170237064362,4.0571438148617744e-05,0.0013736459779078738,20.878423900879756,0.5635185185185185
baseline 480x832,R6,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",43200,32760,480x832,128x64-raster,512,52,0.9598086124401913,0.9794921875,1.06640625,0.17856170237064362,2.2327527403831482e-05,0.001660208168857954,67.03745724534913,0.5315509259259259
baseline 480x832,R7,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",43200,32760,480x832,128x64-raster,512,52,0.9529083840680701,0.9758864182692307,1.25390625,0.17856170237064362,6.789900362491608e-05,0.0021439044099512412,24.976161084135736,0.5684027777777778
baseline 480x832,R8,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",43200,32760,480x832,128x64-raster,512,52,0.8874237912944846,0.9403545673076923,3.1015625,0.17856170237064362,0.00031601637601852417,0.006523469798784476,14.277572792644111,0.6071527777777778
baseline 480x832,R9,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",43200,32760,480x832,128x64-raster,512,52,0.8848849557522124,0.9389272836538461,3.17578125,0.17856170237064362,0.0003794357180595398,0.006999722357211184,12.17662536571956,0.6196527777777778
baseline 480x832 (matched prompts),R1,"repr=nvfp4, pool=fp64/native, score=fp64/native",21600,32760,480x832,128x64-raster,512,52,0.9753672651728743,0.9875300480769231,0.6484375,0.18105807155370712,3.49581241607666e-05,0.0012993899386527805,28.05924978687127,0.5554166666666667
baseline 480x832 (matched prompts),R3,"repr=nvfp4, pool=fp32/native, score=fp32/native",21600,32760,480x832,128x64-raster,512,52,0.9753672651728743,0.9875300480769231,0.6484375,0.18105807155370712,3.4963712096214294e-05,0.0012997241132918893,27.91838474242182,0.5553703703703704
baseline 480x832 (matched prompts),R6,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",21600,32760,480x832,128x64-raster,512,52,0.9599528857479388,0.9795673076923077,1.0625,0.18105807155370712,2.243742346763611e-05,0.0015875382038397527,76.35563672588411,0.5350462962962963
baseline 480x832 (matched prompts),R7,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",21600,32760,480x832,128x64-raster,512,52,0.9534815467018857,0.9761868990384616,1.23828125,0.18105807155370712,6.633996963500977e-05,0.001996747456709385,29.234978661275832,0.5679166666666666
baseline 480x832 (matched prompts),R8,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",21600,32760,480x832,128x64-raster,512,52,0.8874237912944846,0.9403545673076923,3.1015625,0.18105807155370712,0.00031168386340141296,0.006206811607287646,16.89994860578245,0.6094444444444445
baseline 480x832 (matched prompts),R9,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",21600,32760,480x832,128x64-raster,512,52,0.8848849557522124,0.9389272836538461,3.17578125,0.18105807155370712,0.0003665788099169731,0.006671345394436331,14.456933368223957,0.6214351851851851
generalization 720x1280,R1,"repr=nvfp4, pool=fp64/native, score=fp64/native",21600,75600,720x1280,128x64-raster,1182,119,0.9778671466336689,0.9888097370928066,1.3316412859560067,0.14491917192935944,1.5506520867347717e-05,0.0008492817988312668,29.754954954954954,0.5606018518518519
generalization 720x1280,R3,"repr=nvfp4, pool=fp32/native, score=fp32/native",21600,75600,720x1280,128x64-raster,1182,119,0.9778671466336689,0.9888097370928066,1.3316412859560067,0.14491917192935944,1.5506520867347717e-05,0.0008492817988312668,30.167927927927927,0.5606018518518519
generalization 720x1280,R6,"repr=bf16, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",21600,75600,720x1280,128x64-raster,1182,119,0.9629619292173719,0.9811315389099803,2.245346869712352,0.14491917192935944,1.4016986824572086e-05,0.000895175424708253,58.48660769901582,0.5580555555555555
generalization 720x1280,R7,"repr=nvfp4, pool=fp32+fp8_e4m3/native, score=fp8_e4m3/native",21600,75600,720x1280,128x64-raster,1182,119,0.9567086318425263,0.9778754141250409,2.6328257191201354,0.14491917192935944,3.108382225036621e-05,0.0012873342866942692,30.212488015340366,0.5821759259259259
generalization 720x1280,R8,"repr=bf16, pool=fp32+nvfp4/native, score=fp32/native",21600,75600,720x1280,128x64-raster,1182,119,0.8927269057390836,0.943323522302322,6.744500846023689,0.14491917192935944,0.00017525255680084229,0.005083685116182379,14.943202108664229,0.6192592592592593
generalization 720x1280,R9,"repr=nvfp4, pool=fp32+nvfp4/native, score=fp32/native",21600,75600,720x1280,128x64-raster,1182,119,0.8902342332656928,0.9419300715209942,6.910321489001692,0.14491917192935944,0.00019391626119613647,0.005391229339200708,13.67925615706766,0.6225925925925926
