experiment,model_config,actual_selector,qk_representation,scorer_arithmetic,geometry,wrong_mask_share,random_precision_ratio,high_precision_rescue,verdict
Study 1 (original),"Wan2.1-1.3B, 480x832, 81f",no — controlled proxy scorer,NVFP4,fp64 (never varied),128x64 raster,3.326e-05,21.7,not measurable (arithmetic axis absent),original claim
"F1 study-1 condition, reproduced","Wan2.1-1.3B, 480x832, 81f",no — controlled proxy scorer,NVFP4,fp64,128x64 raster,1.373e-03,21,reference,PARTIAL_SUPPORT
F1 fp32 scorer,"Wan2.1-1.3B, 480x832, 81f",no — controlled proxy scorer,NVFP4,fp32,128x64 raster,1.374e-03,"20.9 [15.7, 28.3]",2.655e-07 of sparsification,PARTIAL_SUPPORT
F1 FP8 scorer,"Wan2.1-1.3B, 480x832, 81f",no — controlled proxy scorer,NVFP4,fp8 (native dot),128x64 raster,2.144e-03,"25 [19.8, 31.6]",7.705e-04 of sparsification,PARTIAL_SUPPORT
F1 NVFP4-like scorer,"Wan2.1-1.3B, 480x832, 81f",no — controlled proxy scorer,NVFP4,NVFP4-like (simulated),128x64 raster,7.000e-03,"12.2 [10.4, 14.5]",5.626e-03 of sparsification,PARTIAL_SUPPORT
"F2 VSA, FP8 routing repr.","Wan2.1-1.3B, 480x832, 81f",yes — real VIDEO_SPARSE_ATTN,FP8-E4M3,"VSA kernel (bf16, fp32 acc)",VSA 4x4x4 cube (64-token tiles),4.530e-04,"310 [216, 495]",1.303e-03,INDETERMINATE_ISOLATION_THRESHOLD
"F2 VSA, NVFP4 routing repr.","Wan2.1-1.3B, 480x832, 81f",yes — real VIDEO_SPARSE_ATTN,NVFP4,"VSA kernel (bf16, fp32 acc)",VSA 4x4x4 cube (64-token tiles),1.118e-03,"225 [124, 707]",1.303e-03,INDETERMINATE_ISOLATION_THRESHOLD
"F2 VSA, degraded selector arithmetic","Wan2.1-1.3B, 480x832, 81f",yes — real VIDEO_SPARSE_ATTN,BF16 (unchanged),"bf16 values, bf16 accumulation",VSA 4x4x4 cube (64-token tiles),8.752e-04,"47.7 [41.4, 55.1]",1.303e-03,INDETERMINATE_ISOLATION_THRESHOLD
"F2 VSA, NVFP4 repr. + fp64 selector","Wan2.1-1.3B, 480x832, 81f",yes — real VIDEO_SPARSE_ATTN,NVFP4,fp64,VSA 4x4x4 cube (64-token tiles),1.752e-03,"9.97 [8.17, 12] (straddles 10x)",1.303e-03,INDETERMINATE_ISOLATION_THRESHOLD
F3B token-count generalization,"Wan2.1-1.3B, 720x1280, 81f (75600 tokens)",no — controlled proxy scorer (labelled proxy generalization),NVFP4,full ladder; FP8 dot falls back to emulated at this block count,128x64 raster,5.391e-03,13.7,1.231e-03,GENERALIZES_ON_TOKEN_COUNT
"F3A seed robustness, seed 1234","Wan2.1-1.3B, 480x832, 81f",no — controlled proxy scorer,NVFP4 (worst arm R9),NVFP4-like (simulated),128x64 raster,7.000e-03,12.2,1.898e-03,SEED_ROBUST
"F3A seed robustness, seed 2026","Wan2.1-1.3B, 480x832, 81f",no — controlled proxy scorer,NVFP4 (worst arm R9),NVFP4-like (simulated),128x64 raster,6.991e-03,11.9,1.700e-03,SEED_ROBUST
"F3A seed robustness, seed 3407","Wan2.1-1.3B, 480x832, 81f",no — controlled proxy scorer,NVFP4 (worst arm R9),NVFP4-like (simulated),128x64 raster,6.959e-03,11.6,1.728e-03,SEED_ROBUST
