strategy,head,median_reuse,median_overlap_k,median_jaccard,n
horizontal,0,1.484536051750183,0.6527777910232544,0.4845360815525055,270
horizontal,1,1.5360109210014343,0.6979166865348816,0.5360109210014343,270
horizontal,2,1.600000023841858,0.75,0.6000000238418579,270
horizontal,3,1.4693877696990967,0.6388888955116272,0.4693877696990967,270
horizontal,4,1.5360109210014343,0.6979166865348816,0.5360109210014343,270
horizontal,5,1.6089385747909546,0.756944477558136,0.6089385747909546,270
horizontal,6,1.582417607307434,0.7361111044883728,0.5824176073074341,270
horizontal,7,1.5846032500267029,0.737847238779068,0.5846032500267029,270
horizontal,8,1.5609870553016663,0.71875,0.5609870553016663,270
horizontal,9,1.5442469716072083,0.7048611044883728,0.544247031211853,270
horizontal,10,1.6134580373764038,0.7604166865348816,0.6134580373764038,270
horizontal,11,1.5360109210014343,0.6979166865348816,0.5360109210014343,270
pr1719_current,0,1.484536051750183,0.6527777910232544,0.4845360815525055,270
pr1719_current,1,1.5401068925857544,0.7013888955116272,0.5401069521903992,270
pr1719_current,2,1.600000023841858,0.75,0.6000000238418579,270
pr1719_current,3,1.480729579925537,0.6493055522441864,0.4807295799255371,270
pr1719_current,4,1.5401068925857544,0.7013888955116272,0.5401069521903992,270
pr1719_current,5,1.617977499961853,0.7638888955116272,0.617977499961853,270
pr1719_current,6,1.5911601781845093,0.7430555820465088,0.591160237789154,270
pr1719_current,7,1.5911601781845093,0.7430555820465088,0.591160237789154,270
pr1719_current,8,1.56521737575531,0.7222222089767456,0.5652173757553101,270
pr1719_current,9,1.5401068925857544,0.7013888955116272,0.5401069521903992,270
pr1719_current,10,1.6089385747909546,0.756944477558136,0.6089385747909546,270
pr1719_current,11,1.5380589365959167,0.6996527910232544,0.5380589365959167,270
temporal,0,1.5867888927459717,0.7395833432674408,0.5867889225482941,270
temporal,1,1.56521737575531,0.7222222089767456,0.5652173757553101,270
temporal,2,1.51578950881958,0.6805555820465088,0.5157894492149353,270
temporal,3,1.5401068925857544,0.7013888955116272,0.5401069521903992,270
temporal,4,1.5442469716072083,0.7048611044883728,0.544247031211853,270
temporal,5,1.507853388786316,0.6736111044883728,0.5078533887863159,270
temporal,6,1.617977499961853,0.7638888955116272,0.617977499961853,270
temporal,7,1.44361811876297,0.6145833432674408,0.4436180889606476,270
temporal,8,1.523809552192688,0.6875,0.523809552192688,270
temporal,9,1.548387050628662,0.7083333134651184,0.5483871102333069,270
temporal,10,1.5716322660446167,0.7274305522441864,0.5716321766376495,270
temporal,11,1.548387050628662,0.7083333134651184,0.5483871102333069,270
vertical,0,1.384615421295166,0.5555555820465088,0.38461539149284363,270
vertical,1,1.39130437374115,0.5625,0.3913043439388275,270
vertical,2,1.4903050661087036,0.6579861044883728,0.49030500650405884,270
vertical,3,1.4117647409439087,0.5833333134651184,0.4117647111415863,270
vertical,4,1.3714286088943481,0.5416666865348816,0.37142857909202576,270
vertical,5,1.480729579925537,0.6493055522441864,0.4807295799255371,270
vertical,6,1.4364179372787476,0.6076388955116272,0.43641790747642517,270
vertical,7,1.484536051750183,0.6527777910232544,0.4845360815525055,270
vertical,8,1.4883820414543152,0.65625,0.488382026553154,270
vertical,9,1.447236180305481,0.6180555820465088,0.44723618030548096,270
vertical,10,1.40487802028656,0.5763888955116272,0.40487805008888245,270
vertical,11,1.454545497894287,0.625,0.4545454680919647,270
