strategy,layer,median_reuse,median_overlap_k,median_jaccard,n
horizontal,0,1.7245508432388306,0.8402777910232544,0.7245509028434753,108
horizontal,1,1.51578950881958,0.6805555820465088,0.5157894492149353,108
horizontal,2,1.548387050628662,0.7083333134651184,0.5483871102333069,108
horizontal,3,1.5609870553016663,0.71875,0.5609870553016663,108
horizontal,4,1.600000023841858,0.75,0.6000000238418579,108
horizontal,5,1.51578950881958,0.6805555820465088,0.5157894492149353,108
horizontal,6,1.6134580373764038,0.7604166865348816,0.6134580373764038,108
horizontal,7,1.617977499961853,0.7638888955116272,0.617977499961853,108
horizontal,8,1.6891641020774841,0.815972238779068,0.6891641020774841,108
horizontal,9,1.6134580373764038,0.7604166865348816,0.6134580373764038,108
horizontal,10,1.6089385747909546,0.756944477558136,0.6089385747909546,108
horizontal,11,1.645714282989502,0.7847222089767456,0.645714282989502,108
horizontal,12,1.5955801010131836,0.7465277910232544,0.595580130815506,108
horizontal,13,1.573770523071289,0.7291666865348816,0.5737704634666443,108
horizontal,14,1.617977499961853,0.7638888955116272,0.617977499961853,108
horizontal,15,1.645714282989502,0.7847222089767456,0.645714282989502,108
horizontal,16,1.6695792078971863,0.8020833432674408,0.669579267501831,108
horizontal,17,1.5,0.6666666865348816,0.5,108
horizontal,18,1.398058295249939,0.569444477558136,0.3980582654476166,108
horizontal,19,1.5239801406860352,0.6875,0.5239801704883575,108
horizontal,20,1.4619289636611938,0.631944477558136,0.46192893385887146,108
horizontal,21,1.4656583666801453,0.6354166865348816,0.46565835177898407,108
horizontal,22,1.5279482007026672,0.690972238779068,0.5279482007026672,108
horizontal,23,1.450890839099884,0.6215277910232544,0.45089082419872284,108
horizontal,24,1.4257426261901855,0.5972222089767456,0.42574256658554077,108
horizontal,25,1.5525718927383423,0.7118055522441864,0.5525719225406647,108
horizontal,26,1.50789475440979,0.6736111342906952,0.5078947246074677,108
horizontal,27,1.4582372307777405,0.628472238779068,0.4582372009754181,108
horizontal,28,1.511821448802948,0.6770833432674408,0.5118214190006256,108
horizontal,29,1.4769231081008911,0.6458333134651184,0.4769230782985687,108
pr1719_current,0,1.7349398136138916,0.8472222089767456,0.7349397540092468,108
pr1719_current,1,1.5278622508049011,0.690972238779068,0.5278622210025787,108
pr1719_current,2,1.548387050628662,0.7083333134651184,0.5483871102333069,108
pr1719_current,3,1.5609870553016663,0.71875,0.5609870553016663,108
pr1719_current,4,1.600000023841858,0.75,0.6000000238418579,108
pr1719_current,5,1.523809552192688,0.6875,0.523809552192688,108
pr1719_current,6,1.6134580373764038,0.7604166865348816,0.6134580373764038,108
pr1719_current,7,1.617977499961853,0.7638888955116272,0.617977499961853,108
pr1719_current,8,1.6793145537376404,0.8090277910232544,0.6793145835399628,108
pr1719_current,9,1.6089385747909546,0.756944477558136,0.6089385747909546,108
pr1719_current,10,1.6089385747909546,0.756944477558136,0.6089385747909546,108
pr1719_current,11,1.645714282989502,0.7847222089767456,0.645714282989502,108
pr1719_current,12,1.5955801010131836,0.7465277910232544,0.595580130815506,108
pr1719_current,13,1.575932264328003,0.7309027910232544,0.5759322345256805,108
pr1719_current,14,1.6225480437278748,0.7673611044883728,0.6225480735301971,108
pr1719_current,15,1.645714282989502,0.7847222089767456,0.645714282989502,108
pr1719_current,16,1.674418568611145,0.8055555820465088,0.6744186282157898,108
pr1719_current,17,1.5,0.6666666865348816,0.5,108
pr1719_current,18,1.4049115180969238,0.5763888955116272,0.40491148829460144,108
pr1719_current,19,1.5259642004966736,0.6892361342906952,0.5259641706943512,108
pr1719_current,20,1.454545497894287,0.625,0.4545454680919647,108
pr1719_current,21,1.4582372307777405,0.628472238779068,0.4582372009754181,108
pr1719_current,22,1.5401510000228882,0.7013888955116272,0.5401510000228882,108
pr1719_current,23,1.454545497894287,0.625,0.4545454680919647,108
pr1719_current,24,1.4292892217636108,0.6006944477558136,0.42928919196128845,108
pr1719_current,25,1.5525718927383423,0.7118055522441864,0.5525719225406647,108
pr1719_current,26,1.507853388786316,0.6736111044883728,0.5078533887863159,108
pr1719_current,27,1.454545497894287,0.625,0.4545454680919647,108
pr1719_current,28,1.51578950881958,0.6805555820465088,0.5157894492149353,108
pr1719_current,29,1.480729579925537,0.6493055522441864,0.4807295799255371,108
temporal,0,1.387959897518158,0.5590277910232544,0.38795986771583557,108
temporal,1,1.454545497894287,0.625,0.4545454680919647,108
temporal,2,1.4292892217636108,0.6006944477558136,0.42928919196128845,108
temporal,3,1.5003663301467896,0.6666666567325592,0.5003663152456284,108
temporal,4,1.582417607307434,0.7361111044883728,0.5824176073074341,108
temporal,5,1.44361811876297,0.6145833432674408,0.4436180889606476,108
temporal,6,1.645714282989502,0.7847222089767456,0.645714282989502,108
temporal,7,1.523809552192688,0.6875,0.523809552192688,108
temporal,8,1.3813029527664185,0.5520833432674408,0.3813029080629349,108
temporal,9,1.5780940651893616,0.7326388955116272,0.5780940353870392,108
temporal,10,1.6317411065101624,0.7743055522441864,0.6317411363124847,108
temporal,11,1.6225480437278748,0.7673611044883728,0.6225480735301971,108
temporal,12,1.5098374485969543,0.675347238779068,0.5098373889923096,108
temporal,13,1.7245508432388306,0.8402777910232544,0.7245509028434753,108
temporal,14,1.548387050628662,0.7083333134651184,0.5483871102333069,108
temporal,15,1.7194182872772217,0.8368055522441864,0.7194183170795441,108
temporal,16,1.5780940651893616,0.7326388955116272,0.5780940353870392,108
temporal,17,1.600000023841858,0.75,0.6000000238418579,108
temporal,18,1.7560975551605225,0.8611111044883728,0.7560975551605225,108
temporal,19,1.6180285811424255,0.7638888955116272,0.6180286109447479,108
temporal,20,1.4693877696990967,0.6388888955116272,0.4693877696990967,108
