strategy,step,median_reuse,median_overlap_k,median_jaccard,n
horizontal,0,1.5,0.6666666865348816,0.5,360
horizontal,1,1.4524859189987183,0.6230158805847168,0.45248597860336304,360
horizontal,2,1.4318181276321411,0.60317462682724,0.4318181872367859,360
pr1719_current,0,1.49558824300766,0.6626984179019928,0.4955882430076599,360
pr1719_current,1,1.4318181276321411,0.60317462682724,0.4318181872367859,360
pr1719_current,2,1.415730357170105,0.5873016119003296,0.4157303273677826,360
temporal,0,1.5555555820465088,0.7142857313156128,0.5555555820465088,360
temporal,1,1.5135541558265686,0.6785714626312256,0.5135542452335358,360
temporal,2,1.4823529720306396,0.6507936716079712,0.48235294222831726,360
vertical,0,1.4823529720306396,0.6507936716079712,0.48235294222831726,360
vertical,1,1.4482758045196533,0.6190476417541504,0.4482758641242981,360
vertical,2,1.4482758045196533,0.6190476417541504,0.4482758641242981,360
