strategy,step,median_reuse,median_overlap_k,median_jaccard,n
horizontal,0,1.6089385747909546,0.756944477558136,0.6089385747909546,1080
horizontal,1,1.5401068925857544,0.7013888955116272,0.5401069521903992,1080
horizontal,2,1.51578950881958,0.6805555820465088,0.5157894492149353,1080
pr1719_current,0,1.6089385747909546,0.756944477558136,0.6089385747909546,1080
pr1719_current,1,1.5401068925857544,0.7013888955116272,0.5401069521903992,1080
pr1719_current,2,1.51578950881958,0.6805555820465088,0.5157894492149353,1080
temporal,0,1.573770523071289,0.7291666865348816,0.5737704634666443,1080
temporal,1,1.523809552192688,0.6875,0.523809552192688,1080
temporal,2,1.5401068925857544,0.7013888955116272,0.5401069521903992,1080
vertical,0,1.4769231081008911,0.6458333134651184,0.4769230782985687,1080
vertical,1,1.4117647409439087,0.5833333134651184,0.4117647111415863,1080
vertical,2,1.384615421295166,0.5555555820465088,0.38461539149284363,1080
